シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"海賊の砦内部_3人加入",0,0,,,
,"ローカル変数",,0,,"カムイ立ち絵条件",0,0,,,
,"ローカル変数",,0,,"カムイ仲間入り条件",0,0,,,
,"ローカル変数",,0,,"レオ立ち絵条件",0,0,,,
,"ローカル変数",,0,,"レオ仲間入り条件",0,0,,,
,"ローカル変数",,0,,"バルボ死亡判定",0,0,,,
,"ローカル変数",,0,,"拠点会話出現条件",0,0,,,
,"ローカル変数",,0,,"拠点会話計算",0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"メイン",0,0,,,
,"スポットフラグ",,0,,"訪問済み",0,1,,,
,"サブルーチン呼び出し",,0,,"移動先_海賊の砦内部",0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"ジャンプ",,0,,"玄関",0,0,,,
"移動先_海賊の砦内部",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_PirateFort",0,0,,,
,"移動先追加",,0,,"玄関",0,0,,,
,"移動先追加",,0,,"宝物庫",0,0,,,
,"移動先追加",,0,,"外に出る",1,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"変数セット",,0,,"拠点会話出現条件",0,1,,,
,"変数セット",,0,,"カムイ立ち絵条件",0,0,,,
,"変数セット",,0,,"カムイ仲間入り条件",0,0,,,
,"変数セット",,0,,"レオ立ち絵条件",0,0,,,
,"変数セット",,0,,"レオ仲間入り条件",0,0,,,
,"変数セット",,0,,"バルボ死亡判定",0,0,,,
,"変数セット",,0,,"海賊の砦内部_3人加入",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"拠点会話出現条件設定",,,0,,,0,0,,,
,"変数セット",,0,,"拠点会話計算",0,0,,,
,"変数セット","*加入",1,"バルボ","拠点会話計算",0,1,,,
,"変数セット","G_海賊の砦2_バルボ死亡",1,"1","拠点会話計算",0,1,,,
,"サブルーチン呼び出し","拠点会話計算",1,"1","拠点会話出現条件設定2",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"拠点会話出現条件設定2",,,0,,,0,0,,,
