シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"玄関_フェード後3章",,,0,,,0,0,,,
,"変数セット","*加入",1,"アトラス","アトラスチェック",1,1,,,
,"変数セット","*死亡",1,"アトラス","アトラスチェック",2,1,,,
,"サブルーチン呼び出し","アトラスチェック",1,"1","玄関_アトラス会話",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"玄関_アトラス会話",,,0,,,0,0,,,
,"会話","G_ギースの砦内部3_アトラス会話",2,"1","MID_ADV1_アトラス",0,0,,,
,"変数セット","G_ギースの砦内部3_アトラス会話",2,"1","G_ギースの砦内部3_アトラス会話",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄１_フェード前3章",,,0,,,0,0,,,
,"コメント",,0,,"牢獄１_フェード前3章",0,0,,,
,"サブルーチン呼び出し","G_ギースの砦内部3_エスト会話",4,"1","エスト立ち絵",0,0,,,
,"サブルーチン呼び出し","*else",0,,"エスト立ち絵のみ",0,0,,,
,"変数セット","G_ギースの砦内部3_エスト会話",1,"1","G_ギースの砦内部3_３姉妹再会",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"扉_調べる",,,0,,,0,0,,,
,"はい・いいえ選択",,0,,"MID_ADV_C_Door",0,0,,,
,"はい選択",,0,,"牢獄１_喜ぶ３姉妹",0,0,,,
,"いいえ選択",,0,,"扉_開けない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"扉_開けない",,,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄１_扉チェック",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_ギースの砦内部3_３姉妹再会",1,"0","牢獄１_イベントチェック",0,0,,,
,"サブルーチン呼び出し","*else",0,,"エスト立ち絵",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄１_イベントチェック",,,0,,,0,0,,,
,"サブルーチン呼び出し","*加入",1,"パオラ","牢獄１_イベントチェック2",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄１_イベントチェック2",,,0,,,0,0,,,
,"立ち絵追加","*加入",1,"カチュア","牢獄１_喜ぶ３姉妹",6,0,"エスト",,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄１_喜ぶ３姉妹",,,0,,,0,0,,,
,"変数セット","*加入",1,"パオラ","３姉妹チェック",1,1,,,
,"変数セット","*加入",1,"カチュア","３姉妹チェック",1,1,,,
,"変数セット","*死亡",1,"パオラ","３姉妹チェック",2,1,,,
,"変数セット","*死亡",1,"カチュア","３姉妹チェック",2,1,,,
,"オブジェクトセット","G_ギースの砦内部3_エスト会話",1,"0","irondoor",5,0,,,
,"ウェイト","G_ギースの砦内部3_エスト会話",1,"0",,2000,0,,,
,"サブルーチン呼び出し","３姉妹チェック",1,"2","牢獄１_喜ぶ３姉妹2",0,0,,,
,"会話","G_ギースの砦内部3_エスト会話",4,"1","MID_ADV2_C_エスト",0,0,,,
,"会話","*else",0,,"MID_ADV_C_エスト1_2",0,0,,,
,"変数セット","G_ギースの砦内部3_エスト会話",2,"0","G_ギースの砦内部3_エスト会話",0,2,,,
,"変数セット","*else",0,,"G_ギースの砦内部3_エスト会話",0,1,,,
,"はい・いいえ選択",,0,,"MID_ADV_C_エスト1_SELECT",0,0,,,
,"はい選択",,0,,"エスト仲間入り_加入",0,0,,,
,"いいえ選択",,0,,"エスト仲間入り_拒否",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"牢獄１_喜ぶ３姉妹2",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_ギースの砦内部3_３姉妹再会",2,"1","GS_一枚絵表示",0,0,"Tlp_Ev_SistersMeetAgain",,
,"会話","G_ギースの砦内部3_３姉妹再会",2,"1","MID_ADV_C_エスト1_1",0,0,,,
,"フェードアウト","G_ギースの砦内部3_３姉妹再会",2,"1",,1,0,,,
,"フェード待ち","G_ギースの砦内部3_３姉妹再会",2,"1",,0,0,,,
,"サブルーチン呼び出し","G_ギースの砦内部3_３姉妹再会",2,"1","GS_一枚絵消去",0,0,,,
,"ウェイト","G_ギースの砦内部3_３姉妹再会",2,"1",,500,0,,,
,"フェードイン","G_ギースの砦内部3_３姉妹再会",2,"1",,1,0,,,
,"フェード待ち","G_ギースの砦内部3_３姉妹再会",2,"1",,0,0,,,
,"変数セット",,0,,"G_ギースの砦内部3_３姉妹再会",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"エスト立ち絵のみ",,,0,,,0,0,,,
,"コメント",,0,,"エスト立ち絵のみ",0,0,,,
,"立ち絵追加",,0,,"エストと会話_扉開前",6,0,"エスト","MID_ADV_C_NAMEエスト","デプステスト有り"
,"サブルーチン終了",,0,,,0,0,,,
"エスト立ち絵",,,0,,,0,0,,,
,"コメント",,0,,"エスト立ち絵",0,0,,,
,"サブルーチン呼び出し","*加入",2,"エスト","エスト立ち絵2",6,0,"エスト",,
,"サブルーチン終了",,0,,,0,0,,,
"エスト立ち絵2",,,0,,,0,0,,,
,"立ち絵追加","G_ギースの砦内部3_エスト会話",1,"1","エスト仲間入り_選択",6,0,"エスト",,"デプステスト有り"
,"立ち絵追加","G_ギースの砦内部3_エスト会話",1,"2","エスト仲間入り_選択",6,0,"エスト",,"デプステスト有り"
,"サブルーチン終了",,0,,,0,0,,,
"エストと会話_扉開前",,,0,,,0,0,,,
,"はい・いいえ選択",,0,,"MID_ADV_C_Door",0,0,,,
,"はい選択",,0,,"牢獄１_喜ぶ３姉妹",0,0,,,
,"いいえ選択",,0,,"エストと会話_開けない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"エストと会話_開けない",,,0,,,0,0,,,
,"会話終了",,0,,,0,0,,,
"エストと会話",,,0,,,0,0,,,
,"オブジェクトセット","G_ギースの砦内部3_エスト会話",1,"0","irondoor",5,0,,,
,"ウェイト","G_ギースの砦内部3_エスト会話",1,"0",,2000,0,,,
,"会話","G_ギースの砦内部3_エスト会話",1,"0","MID_ADV_C_エスト1_2",6,0,,,
,"会話","G_ギースの砦内部3_エスト会話",4,"1","MID_ADV2_C_エスト",6,0,,,
,"変数セット","G_ギースの砦内部3_エスト会話",2,"0","G_ギースの砦内部3_エスト会話",0,2,,,
,"変数セット","*else",0,,"G_ギースの砦内部3_エスト会話",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"エスト仲間入り_選択",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"エストと会話",0,0,,,
,"はい・いいえ選択",,0,,"MID_ADV_C_エスト1_SELECT",0,0,,,
,"はい選択",,0,,"エスト仲間入り_加入",0,0,,,
,"いいえ選択",,0,,"エスト仲間入り_拒否",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"エスト仲間入り_加入",,,0,,,0,0,,,
,"仲間入り","*加入",2,"エスト","エスト",0,0,,,
,"立ち絵消去",,0,,"エスト",6,0,,,
,"コマンドメニュー再構築","G_ギースの砦内部3_エスト会話",1,"1",,0,0,,,
,"会話メニュー再構築","*else",0,,,0,0,,,
"エスト仲間入り_拒否",,,0,,,0,0,,,
