シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"拠点会話追加",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"スポットフラグ",,0,,"訪問済み",0,1,,,
,"ジャンプ",,0,,"入りダンジョン",0,0,,,
"移動先_秘密のほこら",,,0,,,0,0,,,
,"ミニマップ",,0,,"AdvMap_SecretTemple_Mira",0,0,,,
,"移動先追加",,0,,"奥へ",0,0,,,
,"移動先追加",,0,,"ミラ神像",0,0,,,
,"移動先追加",,0,,"戻る",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"入りダンジョン",,,0,,,0,0,,,
,"出撃選択",,0,,,0,0,"Dng_HimitsuHokora",,
,"ダンジョン",,0,,"迷路_秘密のほこら１",0,0,"start1",,
,"ジャンプ","*結果",1,"exit1","ほこらを出る",0,0,,,
,"ジャンプ","*結果",1,"exit2","ミラ神像",0,0,,,
"ミラ神像",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_秘密のほこら",0,0,,,
,"背景",,0,,"拠点_秘密のほこら_ミラ神像",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"ミラコマンド追加",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"戻る",,,0,,,0,0,,,
,"ダンジョン",,0,,"迷路_秘密のほこら１",0,0,"start2",,
,"ジャンプ","*結果",1,"exit1","ほこらを出る",0,0,,,
,"ジャンプ","*結果",1,"exit2","ミラ神像",0,0,,,
"奥へ",,,0,,,0,0,,,
,"ダンジョン",,0,,"迷路_秘密のほこら_部屋１",0,0,"start1",,
,"ジャンプ","*結果",1,"exit1","ミラ神像",0,0,,,
"ほこらを出る",,,0,,,0,0,,,
,"スポットフラグ","*クリア済み",2,"True","クリア済み",0,1,,,
,"サブルーチン呼び出し",,0,,"GS_セーブメニュー",0,0,,,
,"終了",,0,,,0,0,,,
"アドベンチャーをスキップ",,,0,,,0,0,,,
,"終了",,0,,,0,0,,,
