シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"ギースの砦クリア済み",0,0,,,
,"ローカル変数",,0,,"SUB28_婦人再配置",0,0,,,
,"ローカル変数",,0,,"SUB32_おじさん再配置",0,0,,,
,"ローカル変数",,0,,"SUB33_出現抑制",0,0,,,
,"ローカル変数",,0,,"乱数保存",0,0,,,
,"ローカル変数",,0,,"斧渡した",0,0,,,
,"拠点会話追加",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"メイン",0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_山の村",0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"ジャンプ",,0,,"出入り口",0,0,,,
"移動先_山の村",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_MountVillage",0,0,,,
,"移動先追加",,0,,"出入り口",0,0,,,
,"移動先追加",,0,,"広場",0,0,,,
,"移動先追加",,0,,"民家",0,0,,,
,"移動先追加",,0,,"鍛冶屋",0,0,,,
,"移動先追加",,0,,"外に出る",1,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"コメント",,0,,"ギースの砦クリア済みが使えるようになったらコメント外す",0,0,,,
,"変数セット","*クリア済み",1,"ギースの砦","ギースの砦クリア済み",0,1,,,
,"変数セット","*else",0,,"ギースの砦クリア済み",0,0,,,
,"変数セット",,0,,"SUB32_おじさん再配置",0,0,,,
,"変数セット",,0,,"SUB28_婦人再配置",0,0,,,
,"変数セット",,0,,"SUB33_出現抑制",0,0,,,
,"変数セット",,0,,"斧渡した",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"鍛冶屋",,,0,,,0,0,,,
,"背景",,0,,"拠点_山の村_鍛冶屋",0,0,,,
,"サブルーチン呼び出し",,0,,"GS_鍛冶屋立ち絵追加",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"出入り口",,,0,,,0,0,,,
,"背景",,0,,"拠点_山の村_出入り口",0,0,,,
,"サブルーチン呼び出し","*章",1,"3","出入り口_フェード前3章",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"広場",,,0,,,0,0,,,
,"背景",,0,,"拠点_山の村_広場",0,0,,,
,"サブルーチン呼び出し","*章",1,"3","広場_フェード前3章",0,0,,,
,"サブルーチン呼び出し","*章",3,"5","広場_商人設定",0,0,,,
,"サブルーチン呼び出し","*章",4,"3","広場_SUB05",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"広場_商人設定",,,0,,,0,0,,,
,"立ち絵追加","G_旅の商人_山の村",1,"0","旅の商人",6,0,"商人緑",,
,"サブルーチン終了",,0,,,0,0,,,
"旅の商人",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"GS_旅の商人",1,0,"G_旅の商人_山の村",,
,"会話終了",,0,,,0,0,,,
"民家",,,0,,,0,0,,,
,"背景",,0,,"拠点_山の村_民家",0,0,,,
,"サブルーチン呼び出し","*加入",2,"アトラス","アトラス表示",0,0,,,
,"サブルーチン呼び出し","*章",4,"3","民家_SUB28",0,0,,,
,"サブルーチン呼び出し","*章",4,"3","民家_SUB32",0,0,,,
,"サブルーチン呼び出し","G_SUB_32奪われた仕事道具",1,"2","民家_SUB33",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"アトラス表示",,,0,,,0,0,,,
,"立ち絵追加","ギースの砦クリア済み",2,"1","アトラス仲間入り_選択",3,0,"アトラス",,
,"サブルーチン呼び出し","*else",0,,"アトラス表示特別",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"アトラス表示特別",,,0,,,0,0,,,
,"コメント",,0,,"ギースの砦クリア時に、一度でも会話したことが合ったら表示",0,0,,,
,"立ち絵追加","G_山の村3_アトラス会話",1,"1","アトラス仲間入り_選択",3,0,"アトラス",,
,"サブルーチン終了",,0,,,0,0,,,
"アトラス仲間入り_選択",,,0,,,0,0,,,
,"会話","G_山の村3_アトラス会話",1,"0","MID_ADV_C_アトラス",3,0,,,
,"会話","G_山の村3_アトラス会話",1,"1","MID_ADV2_C_アトラス",3,0,,,
,"変数セット","G_山の村3_アトラス会話",1,"0","G_山の村3_アトラス会話",0,1,,,
,"はい・いいえ選択",,0,,"MID_ADV_C_アトラス_SELECT",0,0,,,
,"はい選択",,0,,"アトラス仲間入り_加入",0,0,,,
,"いいえ選択",,0,,"アトラス仲間入り_拒否",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"アトラス仲間入り_加入",,,0,,,0,0,,,
,"仲間入り","*加入",2,"アトラス","アトラス",0,0,,,
,"立ち絵消去",,0,,"アトラス",3,0,,,
,"会話メニュー再構築",,0,,,0,0,,,
"アトラス仲間入り_拒否",,,0,,,0,0,,,
