シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"広場_SUB05",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_SUB_05ひもの",3,"1","SUB05_クリア前",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"SUB05_クリア前",,,0,,,0,0,,,
,"立ち絵追加",,0,,"SUB05_クリア前_交渉",5,0,"おじさん","MPID_魚好きのおじさん",
,"サブルーチン終了",,0,,,0,0,,,
"SUB05_クリア前_ひものなし",,,0,,,0,0,,,
,"会話","G_SUB_05ひもの",1,"1","MID_SUB5_2_1",5,0,,,
,"会話","*else",0,,"MID_SUB5_1_1",5,0,,,
,"変数セット",,0,,"G_SUB_05ひもの",0,1,,,
,"はい・いいえ選択",,0,,"MID_SUB5_1_確認1",0,0,,,
,"はい選択",,0,,"SUB05_ひものなし渡す",0,0,,,
,"いいえ選択",,0,,"SUB05_ひものなし渡さない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"SUB05_ひものなし渡す",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB5_1_4",5,0,,,
,"会話終了",,0,,,0,0,,,
"SUB05_ひものなし渡さない",,,0,,,0,0,,,
,"会話終了",,0,,,0,0,,,
"SUB05_クリア前_交渉",,,0,,,0,0,,,
,"会話","G_SUB_05ひもの",1,"1","MID_SUB5_2_1",5,0,,,
,"会話","*else",0,,"MID_SUB5_1_1",5,0,,,
,"変数セット",,0,,"G_SUB_05ひもの",0,1,,,
,"はい・いいえ選択",,0,,"MID_SUB5_1_確認1",0,0,,,
,"はい選択",,0,,"SUB05_ひもの渡す",0,0,,,
,"いいえ選択",,0,,"SUB05_ひもの渡さない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"SUB05_ひもの渡す",,,0,,,0,0,,,
,"会話","*IID_タテウオのひもの",5,"1","MID_SUB5_1_4",5,0,,,
,"会話終了","*IID_タテウオのひもの",5,"1",,0,0,,,
,"会話",,0,,"MID_SUB5_1_2",5,0,,,
,"アイテム消費",,0,,"IID_タテウオのひもの",0,0,,,
,"アイテム入手",,0,,"IID_聖獣のチーズ",0,0,,,
,"変数セット",,0,,"G_SUB_05ひもの",0,2,,,
,"名声上昇",,0,,,100,0,,,
,"会話メニュー再構築",,0,,,0,0,,,
"SUB05_ひもの渡さない",,,0,,,0,0,,,
,"会話","*IID_タテウオのひもの",4,"1","MID_SUB5_1_3",5,0,,,
,"会話終了",,0,,,0,0,,,
"民家_SUB28",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_SUB_28息子を探して",5,"2","女性立ち絵",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"女性立ち絵",,,0,,,0,0,,,
,"立ち絵追加","G_SUB_28息子を探して",5,"1","女性会話_初回",10,0,"女性","MPID_くたびれた婦人",
,"サブルーチン呼び出し","G_SUB_28息子を探して",1,"1","女性立ち絵_進行中",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"女性立ち絵_進行中",,,0,,,0,0,,,
,"サブルーチン呼び出し","SUB28_婦人再配置",5,"1","女性立ち絵_日記分岐",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"女性立ち絵_日記分岐",,,0,,,0,0,,,
,"立ち絵追加","G_山の村_SUB28_日記渡した",5,"1","女性会話_日記持ってる",10,0,"女性","MPID_くたびれた婦人",
,"立ち絵追加","*else",0,,"女性会話_終了",10,0,"女性","MPID_くたびれた婦人",
,"サブルーチン終了",,0,,,0,0,,,
"女性会話_日記持ってる",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB28_2_1",10,0,,,
,"会話終了","*IID_息子の日記",5,"1",,0,0,,,
,"はい・いいえ選択",,0,,"MID_SUB28_2_確認1",0,0,,,
,"はい選択",,0,,"SUB28_日記持ってる_渡す",0,0,,,
,"いいえ選択",,0,,"SUB28_話さない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"SUB28_日記持ってる_渡す",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB28_2_2",10,0,,,
,"ダイアログ",,0,,"MID_SUB28_2_確認2",0,0,,,
,"アイテム消費",,0,,"IID_息子の日記",0,0,,,
,"変数セット",,0,,"SUB28_婦人再配置",0,1,,,
,"変数セット","G_山の村_SUB28_日記渡した",5,"1","G_山の村_SUB28_日記渡した",0,1,,,
,"立ち絵消去",,0,,"女性",10,0,,,
,"会話メニュー再構築",,0,,,0,0,,,
"SUB28_話さない",,,0,,,0,0,,,
,"会話終了",,0,,,0,0,,,
"女性会話_進行中",,,0,,,0,0,,,
,"会話","G_SUB_27解放",5,"1","MID_SUB28_3_1",10,0,,,
,"会話","G_SUB_27解放",1,"1","MID_SUB28_5_1",10,0,,,
