シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"外伝007",,,0,,,0,0,,,
,"メッセージファイル読み込み",,0,,"外伝007",0,0,,,
,"背景",,0,,"海のほこら",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"会話",,0,,"MID_外伝007_1",0,0,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"背景",,0,,"拠点_修道院_玄関",0,0,,,
,"BGM停止",,0,,,0,0,,,
,"BGM再生",,0,,"BGM_MAP_D_CHURCH",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"会話",,0,,"MID_外伝007_2",0,0,,,
,"BGM停止",,0,,,1,0,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"メッセージファイル解放",,0,,"外伝007",0,0,,,
,"外伝終了",,0,,,0,0,,,
