シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"記憶の欠片計算",0,0,,,
,"ローカル変数",,0,,"槍渡した",0,0,,,
,"ローカル変数",,0,,"アトラスチェック",0,0,,,
,"ローカル変数",,0,,"３姉妹チェック",0,0,,,
,"ローカル変数",,0,,"イルマイベント中",0,0,,,
,"拠点会話追加",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"メイン",0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_ギースの砦内部",0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"ジャンプ",,0,,"玄関",0,0,,,
"移動先_ギースの砦内部",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_GuysFort",0,0,,,
,"移動先追加",,0,,"玄関",0,0,,,
,"移動先追加",,0,,"牢獄１",0,0,,,
,"移動先追加",,0,,"牢獄２",0,0,,,
,"移動先追加",,0,,"作戦室",0,0,,,
,"移動先追加",,0,,"外に出る",1,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"変数セット",,0,,"アトラスチェック",0,0,,,
,"変数セット",,0,,"３姉妹チェック",0,0,,,
,"変数セット",,0,,"イルマイベント中",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"玄関",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"玄関_記憶の欠片判定",0,0,,,
,"背景",,0,,"拠点_ギースの砦_玄関",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"3","玄関_フェード後3章",0,0,,,
,"コマンド実行",,0,,,0,0,,,
"玄関_記憶の欠片判定",,,0,,,0,0,,,
,"サブルーチン終了","G_入手_記憶の欠片０６",1,"1",,0,0,,,
,"サブルーチン終了","G_拠点_ギースの砦_玄関_memory_stone",1,"2",,0,0,,,
,"コメント",,0,,"記憶の欠片設定",0,0,,,
,"変数セット",,0,,"G_拠点_ギースの砦_玄関_memory_stone",0,0,,,
,"変数セット",,0,,"記憶の欠片計算",0,0,,,
,"変数セット","*死亡",2,"シルク","記憶の欠片計算",1,1,,,
