シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"作戦室_SUB13",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_SUB_13戦の準備",3,"1","SUB13_期限判定",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"SUB13_期限判定",,,0,,,0,0,,,
,"サブルーチン呼び出し","*クリア済み",2,"要塞","SUB13_通常",0,0,,,
,"サブルーチン呼び出し","*else",0,,"SUB13_期限オーバー",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"SUB13_期限オーバー",,,0,,,0,0,,,
,"立ち絵追加","G_SUB_13槍カウンター",5,"10","SUB13_期限オーバー通達",10,0,"でっぷり商人","MPID_大商人アレッシオ",
,"サブルーチン終了",,0,,,0,0,,,
"SUB13_期限オーバー通達",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB13_4_1",10,0,,,
,"ダイアログ",,0,,"MID_SUB13_4_確認1",0,0,,,
,"変数セット",,0,,"G_SUB_13戦の準備",0,99,,,
,"変数セット",,0,,"G_SUB_13槍カウンター",0,99,,,
,"会話メニュー再構築",,0,,,0,0,,,
"SUB13_通常",,,0,,,0,0,,,
,"立ち絵追加",,0,,"SUB13_通常_槍選択肢",10,0,"でっぷり商人","MPID_大商人アレッシオ",
,"サブルーチン終了",,0,,,0,0,,,
"SUB13_通常_槍選択肢",,,0,,,0,0,,,
,"会話","G_SUB_13戦の準備",1,"1","MID_SUB13_2_1",10,0,,,
,"会話","*else",0,,"MID_SUB13_1_1",10,0,,,
,"変数セット",,0,,"G_SUB_13戦の準備",0,1,,,
,"会話終了","*IID_鋼の槍",5,"1",,0,0,,,
,"はい・いいえ選択",,0,,"MID_SUB13_1_確認1",0,0,,,
,"はい選択",,0,,"SUB13_槍渡す",0,0,,,
,"いいえ選択",,0,,"SUB13_槍渡さない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"SUB13_槍渡す",,,0,,,0,0,,,
,"変数セット",,0,,"槍渡した",0,0,,,
,"会話",,0,,"MID_SUB13_1_2",10,0,,,
,"アイテム選択",,0,,,0,0,,,
,"貨幣取得","*選択アイテムIID",1,"IID_鋼の槍",,0,50,,,
,"変数セット","*選択アイテムIID",1,"IID_鋼の槍","槍渡した",0,1,,,
,"変数セット","*選択アイテムIID",1,"IID_鋼の槍","G_SUB_13槍カウンター",1,1,,,
,"選択アイテム消去","*選択アイテムIID",1,"IID_鋼の槍",,0,0,,,
,"会話","槍渡した",2,"1","MID_SUB13_1_3",10,0,,,
,"変数セット","G_SUB_13槍カウンター",1,"5","G_SUB_13戦の準備",0,2,,,
,"会話","G_SUB_13槍カウンター",1,"5","MID_SUB13_3_1",10,0,,,
,"名声上昇","G_SUB_13槍カウンター",1,"5",,300,0,,,
,"会話メニュー再構築",,0,,,0,0,,,
"SUB13_槍渡さない",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB13_1_3",5,0,,,
,"会話終了",,0,,,0,0,,,
