シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"計算用",0,0,,,
,"ローカル変数",,0,,"サブクエスト配置",0,0,,,
,"サブルーチン呼び出し","*章",1,"2","変数設定_2章",0,0,,,
,"拠点会話追加",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"メイン",0,0,,,
,"変数セット",,0,,"サブクエスト配置",0,1,,,
,"サブルーチン呼び出し",,0,,"移動先_修道院",0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"ジャンプ","G_修道院2_演出",1,"1","2章タイトルイベント",0,0,,,
,"ジャンプ","G_修道院2_初回訪問",1,"0","ミラ神像",0,0,,,
,"ジャンプ","G_修道院2_初回訪問",1,"1","入り口ダンジョン",0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"2","初期化_変数設定2章",0,0,,,
,"サブルーチン呼び出し","*章",4,"2","初期化_変数設定デバッグ",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定デバッグ",,,0,,,0,0,,,
,"変数セット","*章",6,"2","G_修道院2_初回訪問",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"1章から2章へ橋渡し",,,0,,,0,0,,,
,"章セット",,0,,"修道院",2,2,,,
,"GMAPセット",,0,,"修道院",1,2,,,
,"GMAPセット",,0,,,2,1,,,
,"メッセージファイル読み込み",,0,,"修道院_2",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_修道院",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_Monastery",0,0,,,
,"移動先追加",,0,,"玄関",0,0,,,
,"移動先追加",,0,,"ミラ神像",0,0,,,
,"移動先追加",,0,,"外に出る",2,0,"MID_ADV_C_修道院_外出確認",,
,"移動先許可","G_修道院2_初回訪問",1,"0","外に出る",2,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"玄関",,,0,,,0,0,,,
,"背景",,0,,"拠点_修道院_玄関",0,0,,,
,"サブルーチン呼び出し","*章",1,"2","玄関_フェード前2章",0,0,,,
,"サブルーチン呼び出し","サブクエスト配置",1,"1","玄関_SUB09",0,0,,,
,"サブルーチン呼び出し","サブクエスト配置",1,"1","玄関_SUB22",0,0,,,
,"立ち絵追加","*加入",2,"ジェニー","ジェニー仲間入り_選択",5,0,"ジェニー",,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"2","玄関_フェード後2章",0,0,,,
,"コマンド実行",,0,,,0,0,,,
"ミラ神像",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_修道院2_初回訪問",1,"0","ミラ神像_セリカオープニングイベント",0,0,,,
,"背景",,0,,"拠点_修道院_ミラ神像",0,0,,,
,"サブルーチン呼び出し","*章",1,"2","ミラ神像_フェード前2章",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"現在地表示",,0,,,0,0,,,
,"ウェイト","G_修道院2_初回訪問",5,"1",,1000,0,,,
,"サブルーチン呼び出し","*章",1,"2","ミラ神像_フェード後2章",0,0,,,
,"ミラコマンド追加",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"入り口ダンジョン",,,0,,,0,0,,,
,"ダンジョン",,0,,"迷路_ノーヴァ修道院１",0,0,"start1",,
,"ジャンプ",,0,,"修道院入り口へのダンジョン",0,0,,,
"外に出る",,,0,,,0,0,,,
,"ダンジョン",,0,,"迷路_ノーヴァ修道院１",0,0,"start2",,
,"ジャンプ",,0,,"修道院入り口へのダンジョン",0,0,,,
"修道院入り口へのダンジョン",,,0,,,0,0,,,
,"変数セット",,0,,"サブクエスト配置",0,1,,,
,"コメント",,0,,"修道院入り口へのダンジョン",0,0,,,
,"ジャンプ","*結果",1,"exit2","玄関",0,0,,,
,"ジャンプ","*結果",1,"exit1","入り口",0,0,,,
,"アサート",,0,,"結果が不正です",0,0,,,
"ジェニー仲間入り_選択",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"ジェニーと会話",0,0,,,
,"はい・いいえ選択",,0,,"MID_ADV_C_ジェニー_SELECT",0,0,,,
,"はい選択",,0,,"ジェニー仲間入り_加入",0,0,,,
,"いいえ選択",,0,,"ジェニー仲間入り_拒否",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"ジェニーと会話",,,0,,,0,0,,,
,"会話","G_修道院2_ジェニー会話",1,"0","MID_ADV_C_ジェニー仲間入り会話1",5,0,,,
,"会話","G_修道院2_ジェニー会話",1,"1","MID_ADV_C_ジェニー仲間入り会話2",5,0,,,
,"変数セット",,0,,"G_修道院2_ジェニー会話",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"ジェニー仲間入り_加入",,,0,,,0,0,,,
,"仲間入り","*加入",2,"ジェニー","ジェニー",0,0,,,
,"立ち絵消去","*加入",1,"ジェニー","ジェニー",5,0,,,
,"会話メニュー再構築",,0,,,0,0,,,
"ジェニー仲間入り_拒否",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV_C_ジェニー2",5,0,,,
,"会話終了",,0,,,0,0,,,
"入り口",,,0,,,0,0,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"BGM停止",,0,,,2,0,,,
,"環境音停止",,0,,,2,0,,,
,"終了",,0,,,0,0,,,
"アドベンチャーをスキップ",,,0,,,0,0,,,
,"ジャンプ","*章",1,"2","アドベンチャーをスキップ_2章",0,0,,,
,"ジャンプ",,0,,"入り口",0,0,,,
