シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"玄関_SUB09",,,0,,,0,0,,,
,"コメント",,0,,"歯車フラグは？",0,0,,,
,"サブルーチン呼び出し","G_SUB_09足りない歯車",3,"1","SUB09_クリア前",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"SUB09_クリア前",,,0,,,0,0,,,
,"立ち絵追加","G_SUB_09足りない歯車",5,"1","SUB09_クリア前_初回",6,0,"シスター（青）","MPID_神経質なシスター",
,"立ち絵追加","*else",0,,"SUB09_クリア前_２回目以降",6,0,"シスター（青）","MPID_神経質なシスター",
,"サブルーチン終了",,0,,,0,0,,,
"SUB09_クリア前_初回",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB9_1_1",6,0,,,
,"はい・いいえ選択",,0,,"MID_SUB9_1_確認1",0,0,,,
,"はい選択",,0,,"SUB09_歯車見せる",0,0,,,
,"いいえ選択",,0,,"SUB09_歯車見せない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"SUB09_歯車見せる",,,0,,,0,0,,,
,"変数セット",,0,,"G_SUB_09足りない歯車",0,1,,,
,"会話",,0,,"MID_SUB9_1_2",6,0,,,
,"会話メニュー再構築",,0,,,0,0,,,
"SUB09_歯車見せない",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB9_1_3",6,0,,,
,"会話終了",,0,,,0,0,,,
"SUB09_クリア前_２回目以降",,,0,,,0,0,,,
,"コメント",,0,,"歯車フラグは？",0,0,,,
,"サブルーチン呼び出し","G_入手_小さな歯車",4,"9","SUB09_歯車完成",0,0,,,
,"サブルーチン呼び出し","*else",1,"1","SUB09_歯車未完成",0,0,,,
,"会話終了",,0,,,0,0,,,
"SUB09_歯車完成",,,0,,,0,0,,,
,"会話","G_SUB_09足りない歯車",4,"2","MID_SUB9_3_2",6,0,,,
,"会話","G_SUB_09足りない歯車",1,"1","MID_SUB9_3_1",6,0,,,
,"アイテム入手","G_SUB_09足りない歯車",1,"1","IID_アンブロシア",0,0,,,
,"変数セット","G_SUB_09足りない歯車",1,"1","G_SUB_09足りない歯車",0,2,,,
,"名声上昇","G_SUB_09足りない歯車",1,"2",,300,0,,,
,"変数セット","G_SUB_09足りない歯車",1,"2","G_SUB_09足りない歯車",0,3,,,
,"サブルーチン終了",,0,,,0,0,,,
"SUB09_歯車未完成",,,0,,,0,0,,,
,"会話","G_SUB_09足りない歯車",1,"2","MID_SUB9_3_2",6,0,,,
,"会話","*else",0,,"MID_SUB9_2_1",6,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"玄関_SUB22",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_SUB_22死者にやすらぎを",3,"1","SUB22_クリア前",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"SUB22_クリア前",,,0,,,0,0,,,
,"立ち絵追加","G_SUB_22死者にやすらぎを",1,"1","SUB22_クリア前_計算",10,0,"隠者","MPID_物憂げな隠者",
,"立ち絵追加","G_SUB_22死者にやすらぎを",1,"0","SUB22_クリア前_初回",10,0,"隠者","MPID_物憂げな隠者",
,"サブルーチン終了",,0,,,0,0,,,
"SUB22_クリア前_計算",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_SUB_22ゾンビ数",5,"20","SUB22_クリア前_20未満",10,0,,,
,"サブルーチン呼び出し","*else",0,,"SUB22_クリア前_達成",10,0,,,
,"会話メニュー再構築",,0,,,0,0,,,
"SUB22_クリア前_20未満",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB22_1_2",10,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"SUB22_クリア前_達成",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB22_1_3",10,0,,,
,"アイテム入手",,0,,"IID_穴あきチーズ",0,0,,,
,"変数セット",,0,,"G_SUB_22死者にやすらぎを",0,2,,,
,"名声上昇",,0,,,100,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"SUB22_クリア前_初回",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB22_1_1",10,0,,,
,"変数セット",,0,,"G_SUB_22死者にやすらぎを",0,1,,,
,"会話メニュー再構築",,0,,,0,0,,,
"SUB22_クリア後",,,0,,,0,0,,,
,"立ち絵追加",,0,,"MID_SUB22_2",10,0,"隠者",,
,"サブルーチン終了",,0,,,0,0,,,
