シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"広場_SUB07",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_SUB_07酒_完成待ち",5,"1","SUB07_通常立ち絵",0,0,,,
,"サブルーチン呼び出し","*else",0,,"SUB07_酒完成チェック",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"SUB07_酒完成チェック",,,0,,,0,0,,,
,"GMAPターン取得",,0,,"SUB07お酒チェック",0,0,,,
,"変数セット",,0,,"SUB07お酒チェック",2,0,"G_SUB_07酒_完成時間",,
,"立ち絵追加","SUB07お酒チェック",4,"3","SUB07_酒完成会話",8,0,"隠者","MPID_大魔道士",
,"サブルーチン終了",,0,,,0,0,,,
"SUB07_酒完成会話",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB7_3_1",8,0,,,
,"アイテム入手",,0,,"IID_ネクタル",0,0,,,
,"変数セット",,0,,"G_SUB_07酒_完成待ち",0,0,,,
,"変数セット",,0,,"G_SUB_07酒_完成時間",0,0,,,
,"変数セット","G_SUB_07幻の銘酒",3,"1","G_SUB_07幻の銘酒",0,2,,,
,"会話",,0,,"MID_SUB7_3_2",8,0,,,
,"会話メニュー再構築",,0,,,0,0,,,
"SUB07_通常立ち絵",,,0,,,0,0,,,
,"立ち絵追加",,0,,"SUB07_通常会話",8,0,"隠者","MPID_大魔道士",
,"サブルーチン終了",,0,,,0,0,,,
"SUB07_通常会話",,,0,,,0,0,,,
,"会話","G_SUB_07幻の銘酒",4,"1","MID_SUB7_2_1",8,0,,,
,"会話","*else",0,,"MID_SUB7_1_1",8,0,,,
,"変数セット","G_SUB_07幻の銘酒",3,"1","G_SUB_07幻の銘酒",0,1,,,
,"はい・いいえ選択",,0,,"MID_SUB7_1_確認1",0,0,,,
,"はい選択",,0,,"SUB07_材料渡す",0,0,,,
,"いいえ選択",,0,,"SUB07_材料渡さない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"SUB07_材料渡す",,,0,,,0,0,,,
,"変数セット",,0,,"SUB07お酒チェック",0,0,,,
,"変数セット","*IID_薬草のリキュール",4,"1","SUB07お酒チェック",1,1,,,
,"変数セット","*IID_ガーゴイルの耳",4,"1","SUB07お酒チェック",1,1,,,
,"変数セット","*IID_スケルトン油",4,"1","SUB07お酒チェック",1,1,,,
,"変数セット","*IID_ドーマのコケ",4,"1","SUB07お酒チェック",1,1,,,
,"会話","SUB07お酒チェック",1,"4","MID_SUB7_1_2",8,0,,,
,"アイテム消費","SUB07お酒チェック",1,"4","IID_薬草のリキュール",0,0,,,
,"アイテム消費","SUB07お酒チェック",1,"4","IID_ガーゴイルの耳",0,0,,,
,"アイテム消費","SUB07お酒チェック",1,"4","IID_スケルトン油",0,0,,,
,"アイテム消費","SUB07お酒チェック",1,"4","IID_ドーマのコケ",0,0,,,
,"変数セット","SUB07お酒チェック",1,"4","G_SUB_07酒_完成待ち",0,1,,,
,"GMAPターン取得","SUB07お酒チェック",1,"4","G_SUB_07酒_完成時間",0,0,,,
,"会話メニュー再構築","SUB07お酒チェック",1,"4",,0,0,,,
,"会話",,0,,"MID_SUB7_1_4",8,0,,,
,"会話終了",,0,,,0,0,,,
"SUB07_材料渡さない",,,0,,,0,0,,,
