シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"拠点会話追加",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"メイン",0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_ミラ神殿1F",0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"ジャンプ",,0,,"玄関",0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"変数セット","*章",4,"4","G_ミラ神殿内部3_水門開放",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_ミラ神殿1F",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_MilaTemple_1F",0,0,"MID_ADV_GROUP_ミラ神殿1F",,
,"移動先追加",,0,,"玄関",0,0,,,
,"移動先追加",,0,,"ホール",0,0,,,
,"移動先追加",,0,,"ミラの間へ",0,0,,,
,"移動先追加",,0,,"ミラ神像",0,0,,,
,"移動先追加",,0,,"外に出る",1,0,,,
,"移動先追加",,0,,"地下１階へ",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_ミラ神殿1FB",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_MilaTemple_1FB",0,0,"MID_ADV_GROUP_ミラ神殿1FB",,
,"移動先追加",,0,,"ホールへ",0,0,,,
,"移動先追加",,0,,"ミラの間",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"ホールへ",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_ミラ神殿1F",0,0,,,
,"ジャンプ",,0,,"ホール",0,0,,,
"ミラの間へ",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_ミラ神殿1FB",0,0,,,
,"ジャンプ",,0,,"ミラの間",0,0,,,
"地下１階へ",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_ミラ神殿B1",0,0,,,
,"ジャンプ",,0,,"操作部",0,0,,,
"移動先_ミラ神殿B1",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_MilaTemple_B1",0,0,"MID_ADV_GROUP_ミラ神殿B1",,
,"移動先追加",,0,,"操作部",0,0,,,
,"移動先追加",,0,,"地下２階へ",2,0,,,
,"移動先追加",,0,,"１階へ",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"１階へ",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_ミラ神殿1F",0,0,,,
,"ジャンプ",,0,,"玄関",0,0,,,
"地下２階へ",,,0,,,0,0,,,
,"ダンジョン","*章",1,"3","迷路_ミラ神殿１",0,0,"start1",,
,"ジャンプ","*章",1,"3","迷路_ミラ神殿１",0,0,,,
,"ダンジョン","*章",4,"4","迷路_ミラ神殿２(放水後)",0,0,"start1",,
,"ジャンプ","*章",4,"4","迷路_ミラ神殿２(放水後)",0,0,,,
"迷路_ミラ神殿１",,,0,,,0,0,,,
,"コメント",,0,,"迷路_竜のほこら１",0,0,,,
,"ジャンプ","*結果",1,"exit1","B1へ",0,0,,,
,"アサート",,0,,"結果が不正です",0,0,,,
"迷路_ミラ神殿２(放水後)",,,0,,,0,0,,,
,"コメント",,0,,"迷路_竜のほこら１",0,0,,,
,"ジャンプ","*結果",1,"exit2","踊り場",0,0,,,
,"ジャンプ","*結果",1,"exit1","B1へ",0,0,,,
,"アサート",,0,,"結果が不正です",0,0,,,
"B1へ",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_ミラ神殿B1",0,0,,,
,"ジャンプ",,0,,"操作部",0,0,,,
"移動先_ミラ神殿B2奥踊り場",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_MilaTemple_B2",0,0,"MID_ADV_GROUP_ミラ神殿B2",,
,"移動先追加",,0,,"踊り場",0,0,,,
,"移動先追加",,0,,"戻る",2,0,,,
