シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"民家１_SUB27",,,0,,,0,0,,,
,"変数セット","G_SUB_27解放",1,"1","G_SUB_27書き置き見た",0,3,,,
,"サブルーチン呼び出し","G_SUB_27書き置き見た",2,"2","女性立ち絵",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"女性立ち絵",,,0,,,0,0,,,
,"立ち絵追加","G_SUB_27囚人の行方",5,"1","女性会話_初回",10,0,"村人女","MPID_商人の妻",
,"サブルーチン呼び出し","G_SUB_27囚人の行方",1,"1","女性立ち絵_進行中",0,0,,,
,"立ち絵追加","*else",0,,"女性会話_終了",10,0,"村人女","MPID_商人の妻",
,"サブルーチン終了",,0,,,0,0,,,
"女性立ち絵_進行中",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_SUB_27書き置き見た",1,"1","女性立ち絵_書き置き後",0,0,,,
,"立ち絵追加","*else",0,,"女性会話_進行中",10,0,"村人女","MPID_商人の妻",
,"サブルーチン終了",,0,,,0,0,,,
"女性立ち絵_書き置き後",,,0,,,0,0,,,
,"立ち絵追加",,0,,"女性会話_書き置き後",10,0,"村人女","MPID_商人の妻",
,"サブルーチン終了",,0,,,0,0,,,
"女性会話_書き置き後",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB27_3_1",5,0,,,
,"変数セット",,0,,"G_SUB_27書き置き見た",0,2,,,
,"はい・いいえ選択",,0,,"MID_SUB27_3_確認1",0,0,,,
,"はい選択",,0,,"SUB27_話す",0,0,,,
,"いいえ選択",,0,,"SUB27_話さない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"SUB27_話す",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB27_3_2",10,0,,,
,"会話","*else",0,,"MID_SUB27_1_1",10,0,,,
,"ダイアログ",,0,,"MID_SUB27_3_確認2",0,0,,,
,"変数セット",,0,,"G_SUB_27書き置き見た",0,2,,,
,"会話メニュー再構築",,0,,,0,0,,,
"SUB27_話さない",,,0,,,0,0,,,
,"会話終了",,0,,,0,0,,,
"女性会話_進行中",,,0,,,0,0,,,
,"会話","G_SUB_27解放",5,"1","MID_SUB27_3_1",10,0,,,
,"会話","G_SUB_27解放",1,"1","MID_SUB27_5_1",10,0,,,
,"アイテム入手","G_SUB_27解放",1,"1","IID_木彫りのミラ",0,0,,,
,"変数セット","G_SUB_27解放",1,"1","G_SUB_27囚人の行方",0,2,,,
,"変数セット","G_SUB_27囚人の行方",5,"1","G_SUB_27囚人の行方",0,1,,,
,"名声上昇","G_SUB_27解放",1,"1",,200,0,,,
,"会話メニュー再構築","G_SUB_27解放",1,"1",,0,0,,,
,"会話終了",,0,,,0,0,,,
"女性会話_初回",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB27_1_1",10,0,,,
