シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"カワイイ物",0,0,,,
,"ローカル変数",,0,,"失敗カウンター",0,0,,,
,"ローカル変数",,0,,"計算用",0,0,,,
,"サブルーチン呼び出し","*章",1,"3","変数設定_3章",0,0,,,
,"拠点会話追加",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"メイン",0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_森の村内部",0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"ジャンプ",,0,,"出入り口",0,0,,,
"移動先_森の村内部",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_WoodsVillage",0,0,,,
,"移動先追加",,0,,"出入り口",0,0,,,
,"移動先追加",,0,,"広場",0,0,,,
,"移動先追加",,0,,"民家１",0,0,,,
,"移動先追加",,0,,"民家２",0,0,,,
,"移動先追加",,0,,"鍛冶屋",0,0,,,
,"移動先追加",,0,,"村を出る",1,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"サブルーチン呼び出し","*クリア済み",1,"水門","初期化_水門クリア",0,0,,,
,"変数セット",,0,,"失敗カウンター",0,0,,,
,"サブルーチン呼び出し","*章",1,"3","初期化3章",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_水門クリア",,,0,,,0,0,,,
,"変数セット",,0,,"G_森の村内部3_外へ出る会話",0,99,,,
,"変数セット",,0,,"G_森の村内部3_リュート会話",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"鍛冶屋",,,0,,,0,0,,,
,"背景",,0,,"拠点_森の村_鍛冶屋",0,0,,,
,"サブルーチン呼び出し",,0,,"GS_鍛冶屋立ち絵追加",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"出入り口",,,0,,,0,0,,,
,"背景",,0,,"拠点_森の村_出入り口",0,0,,,
,"BGM再生",,0,,"BGM_EVT_AMB",0,0,,,
,"サブルーチン呼び出し","*章",1,"3","出入り口_フェード前3章",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"広場",,,0,,,0,0,,,
,"背景",,0,,"拠点_森の村_広場",0,0,,,
,"サブルーチン呼び出し","*加入",2,"リュート","広場リュート立ち絵3章",0,0,,,
,"サブルーチン呼び出し","*章",1,"3","広場_フェード前3章",0,0,,,
,"サブルーチン呼び出し","*章",3,"5","広場_商人設定",0,0,,,
,"BGM再生",,0,,"BGM_EVT_AMB",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"広場_商人設定",,,0,,,0,0,,,
,"立ち絵追加","G_旅の商人_森の村内部",1,"0","旅の商人",6,0,"商人青",,
,"サブルーチン終了",,0,,,0,0,,,
"旅の商人",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"GS_旅の商人",2,0,"G_旅の商人_森の村内部",,
,"会話終了",,0,,,0,0,,,
"民家１",,,0,,,0,0,,,
,"背景",,0,,"拠点_森の村_民家１",0,0,,,
,"サブルーチン呼び出し","*章",1,"3","民家１_フェード前3章",0,0,,,
,"サブルーチン呼び出し","G_SUB_26連れ去られた少女",4,"2","民家１_SUB27",0,0,,,
,"BGM再生",,0,,"BGM_EVT_AMB",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"民家２",,,0,,,0,0,,,
,"背景",,0,,"拠点_森の村_民家２",0,0,,,
,"サブルーチン呼び出し","*章",4,"3","民家２_SUB26",0,0,,,
,"サブルーチン呼び出し","G_SUB_26連れ去られた少女",4,"3","民家２_SUB30",0,0,,,
,"BGM再生",,0,,"BGM_EVT_AMB",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"村を出る",,,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"3","村を出る3章",0,0,,,
,"BGM停止",,0,,,1,0,,,
,"環境音停止",,0,,,1500,0,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"アドベンチャーをスキップ",,,0,,,0,0,,,
,"終了",,0,,,0,0,,,
