シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"1章エンディングイベント",,,0,,,0,0,,,
,"変数セット",,0,,"G_修道院2_演出",0,1,,,
,"背景",,0,,"拠点_リゲル城_謁見の間２",0,0,,,
,"メッセージファイル読み込み",,0,,"ソフィア城_1",0,0,,,
,"BGM停止",,0,,,0,0,,,
,"フェードイン",,0,,,2,0,,,
,"フェード待ち",,0,,,0,0,,,
,"会話",,0,,"MID_EV5",0,0,,,
,"フェードアウト",,0,,,2,0,,,
,"フェード待ち",,0,,,0,0,,,
,"メッセージファイル解放",,0,,"ソフィア城_1",0,0,,,
,"サブルーチン呼び出し",,0,,"GS_セーブメニュー",0,0,,,
,"章セット",,0,,"修道院",2,2,,,
,"GMAPセット",,0,,"修道院",1,2,,,
,"GMAPセット",,0,,,2,1,,,
,"仲間入り",,0,,"セリカ",2,0,,,
,"イベントジャンプ",,0,,"修道院",0,0,,,
,"終了",,0,,,0,0,,,
