シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"入り口ダンジョン行",0,0,,,
,"ローカル変数",,0,,"扉確認",0,0,,,
,"拠点会話追加",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"メイン",0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"サブルーチン呼び出し","*章",1,"1","1章エンディングイベント",0,0,,,
,"ジャンプ","*章",1,"5","入り口ダンジョン行き",0,0,,,
,"ジャンプ","*章",1,"6","入り口ダンジョン６章",0,0,,,
"５章開始",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_ドーマ神殿5_５章オープニング",1,"0","移動先_リゲル城B1",0,0,,,
,"ジャンプ","G_ドーマ神殿5_５章オープニング",1,"0","巨大な扉",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_リゲル城内部",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_RigelCastle",0,0,"MID_ADV_GROUP_リゲル城1F",,
,"移動先追加",,0,,"玄関",0,0,,,
,"移動先追加",,0,,"中央ホール",0,0,,,
,"移動先追加",,0,,"謁見の間へ",0,0,,,
,"移動先追加",,0,,"城の外へ",1,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_リゲル城内部B",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_RigelCastle1FB",0,0,"MID_ADV_GROUP_リゲル城1FB",,
,"移動先追加",,0,,"謁見の間",0,0,,,
,"移動先追加",,0,,"中央ホールへ",0,0,,,
,"移動先追加",,0,,"地下１階へ",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"中央ホールへ",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_リゲル城内部",0,0,,,
,"ジャンプ",,0,,"中央ホール",0,0,,,
"謁見の間へ",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_リゲル城内部B",0,0,,,
,"ジャンプ",,0,,"謁見の間",0,0,,,
"地下１階へ",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_リゲル城B1",0,0,,,
,"ジャンプ",,0,,"巨大な扉",0,0,,,
"１階へ",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_リゲル城内部B",0,0,,,
,"ジャンプ",,0,,"謁見の間",0,0,,,
"移動先_リゲル城B1",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_RigelCastle_B1",0,0,"MID_ADV_GROUP_リゲル城B1",,
,"移動先追加",,0,,"巨大な扉",0,0,,,
,"移動先追加",,0,,"１階へ",0,0,,,
,"移動先追加",,0,,"ドーマ神殿へ",2,0,"MID_EV31_1_確認",,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_ドーマ神殿",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_DumaTemple_B1",0,0,"MID_ADV_GROUP_ドーマ神殿B1",,
,"移動先追加",,0,,"通路",0,0,"・ミラ神殿",,
,"移動先追加",,0,,"奥へ",2,0,,,
,"移動先追加",,0,,"戻る",2,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_ミラ神像",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_DumaTemple_Mira",0,0,,,
,"移動先追加",,0,,"ミラ神像",0,0,,,
,"移動先追加",,0,,"戻る00",2,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_最後の扉",,,0,,,0,0,,,
,"変数セット",,0,,"扉確認",0,1,,,
,"ミニマップ",,0,,"AdvMap_DumaTemple_FinalGate",0,0,"MID_ADV_GROUP_ドーマ神殿最後",,
,"移動先追加",,0,,"最後の扉",0,0,,,
,"移動先追加","G_ドーマ神殿5_最後の扉",2,"0","ドーマの祭壇へ",0,0,"MID_ADV_C_ドーマ神殿_最後の扉",,
,"移動先追加",,0,,"戻る01",2,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"変数セット",,0,,"入り口ダンジョン行",0,1,,,
,"変数セット",,0,,"G_ドーマ神殿5_ダンジョンポイント",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"通路",,,0,,,0,0,,,
,"コメント",,0,,"通路",0,0,,,
,"変数セット",,0,,"G_ドーマ神殿5_ダンジョンポイント",0,12,,,
,"変数セット",,0,,"入り口ダンジョン行",0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_ドーマ神殿",0,0,,,
,"背景",,0,,"拠点_ドーマ神殿_通路",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"現在地表示",,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"5","通路_フェード後5章",0,0,,,
,"コマンド実行",,0,,,0,0,,,
"ミラ神像",,,0,,,0,0,,,
,"変数セット",,0,,"G_ドーマ神殿5_ダンジョンポイント",0,8,,,
,"背景",,0,,"拠点_ドーマ神殿_ミラ神像",0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_ミラ神像",0,0,,,
,"ミラコマンド追加",,0,,,0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"入り口ダンジョン行き",,,0,,,0,0,,,
,"コメント",,0,,"◆◆入り口ダンジョン行き",0,0,,,
,"出撃選択",,0,,"迷路_ドーマ神殿１",0,0,"Dng_DomaShinden",,
,"ジャンプ","*結果",1,"戻る","入り口ダンジョン行き",0,0,,,
,"ダンジョン",,0,,"迷路_ドーマ神殿１",0,0,"start1",,
,"ジャンプ","*結果",1,"戻る","入り口ダンジョン行き",0,0,,,
,"ジャンプ","*結果",1,"exit2","通路",0,0,,,
,"ジャンプ","*結果",1,"exit1","入り口ダンジョン行き",0,0,,,
,"アサート",,0,,"結果が不正です",0,0,,,
"入り口ダンジョン戻り",,,0,,,0,0,,,
,"コメント",,0,,"◆◆入り口ダンジョン戻り",0,0,,,
,"ジャンプ","*結果",1,"戻る","入り口ダンジョン行き",0,0,,,
,"ダンジョン",,0,,"迷路_ドーマ神殿１",0,0,"start2",,
,"ジャンプ","*結果",1,"戻る","入り口ダンジョン行き",0,0,,,
,"ジャンプ","*結果",1,"exit2","通路",0,0,,,
,"ジャンプ","*結果",1,"exit1","入り口ダンジョン行き",0,0,,,
,"アサート",,0,,"結果が不正です",0,0,,,
