シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"玄関_フェード前3章",,,0,,,0,0,,,
,"立ち絵追加",,0,,"MID_ADV1_女性",3,0,"女性",,
,"サブルーチン終了",,0,,,0,0,,,
"作戦室_フェード前3章",,,0,,,0,0,,,
,"立ち絵追加",,0,,"MID_ADV1_おじさん",3,0,"おじさん",,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄_フェード後3章",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_砂漠の砦内部3_牢獄前",1,"0","牢獄_牢前イベント",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄_牢前イベント",,,0,,,0,0,,,
,"サブルーチン呼び出し","牢前強制会話",1,"1","牢獄_ジェシー会話後イベント",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄_ジェシー会話後イベント",,,0,,,0,0,,,
,"会話","*戦闘済み",2,"ギースの砦","MID_EV1",3,0,,,
,"変数セット",,0,,"牢前強制会話",0,0,,,
,"変数セット",,0,,"G_砂漠の砦内部3_牢獄前",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
