シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"マイセンの家_フェード前2章",,,0,,,0,0,,,
,"フェードイン",,0,,,1,0,,,
,"会話","G_ラムの村2_強制会話_マイセンの家",1,"0","MID_EV2",3,1,,,
,"変数セット","G_ラムの村2_強制会話_マイセンの家",1,"0","G_ラムの村2_強制会話_マイセンの家",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"村の出入り口_2章",,,0,,,0,0,,,
,"会話","G_ラムの村2_強制会話_村の出入り口",1,"0","MID_EV1",3,1,,,
,"変数セット","G_ラムの村2_強制会話_村の出入り口",1,"0","G_ラムの村2_強制会話_村の出入り口",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"村の広場_フェード前2章",,,0,,,0,0,,,
,"立ち絵追加",,0,,"MID_ADV1_おばさん",3,0,"おばさん",,
,"立ち絵追加",,0,,"MID_ADV1_老人",5,0,"老人",,
,"サブルーチン終了",,0,,,0,0,,,
"村を出る_2章",,,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
