シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"ミラ神像から",0,0,,,
,"ローカル変数",,0,,"出口に強制移動",0,0,,,
,"拠点会話追加",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"メイン",0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"ジャンプ",,0,,"ドーマの塔1F",0,0,,,
"移動先_ドーマの塔屋上",,,0,,,0,0,,,
,"ミニマップ",,0,,"AdvMap_DumaTower_Rooftop",0,0,,,
,"移動先追加",,0,,"屋上",0,0,,,
,"移動先追加","*章",4,"5","戻る",2,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_ドーマの塔地下",,,0,,,0,0,,,
,"ミニマップ",,0,,"AdvMap_DumaTower_Mira",0,0,,,
,"移動先追加",,0,,"ミラ神像",0,0,,,
,"移動先追加",,0,,"戻る00",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"変数セット",,0,,"ミラ神像から",0,0,,,
,"変数セット",,0,,"出口に強制移動",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"戻る",,,0,,,0,0,,,
,"コメント",,0,,"ドーマの塔屋上",0,0,,,
,"ダンジョン",,0,,"迷路_ドーマの塔４",0,0,"start2",,
,"ジャンプ","*結果",1,"exit3","ミラ神像",0,0,,,
,"ジャンプ","*結果",1,"exit1","出口",0,0,,,
,"ジャンプ","*結果",1,"exit2","屋上",0,0,,,
,"アサート",,0,,"結果が不正です",0,0,,,
"ドーマの塔1F",,,0,,,0,0,,,
,"コメント",,0,,"ドーマの塔1F",0,0,,,
,"出撃選択",,0,,,0,0,"Dng_DomaTou",,
,"ダンジョン",,0,,"迷路_ドーマの塔１",0,0,"start1",,
,"ジャンプ","*結果",1,"exit3","ミラ神像",0,0,,,
,"ジャンプ","*結果",1,"exit1","出口",0,0,,,
,"ジャンプ","*結果",1,"exit2","屋上",0,0,,,
,"アサート",,0,,"結果が不正です",0,0,,,
"戻る00",,,0,,,0,0,,,
,"ダンジョン",,0,,"迷路_ドーマの塔１",0,0,"start3",,
,"ジャンプ","*結果",1,"exit3","ミラ神像",0,0,,,
,"ジャンプ","*結果",1,"exit1","出口",0,0,,,
,"ジャンプ","*結果",1,"exit2","屋上",0,0,,,
,"アサート",,0,,"結果が不正です",0,0,,,
"屋上",,,0,,,0,0,,,
,"ジャンプ","出口に強制移動",1,"1","出口",0,0,,,
,"コメント",,0,,"ドーマの塔屋上",0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_ドーマの塔屋上",0,0,,,
,"背景",,0,,"拠点_ドーマの塔_屋上",0,0,,,
,"BGM停止",,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"4","屋上_フェード前4章",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"出口",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"GS_セーブメニュー",0,0,,,
,"終了",,0,,,0,0,,,
"ミラ神像",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_ドーマの塔地下",0,0,,,
,"背景",,0,,"拠点_ドーマの塔_ミラ神像",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"ミラコマンド追加",,0,,,0,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"アドベンチャーをスキップ",,,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"4","アドベンチャーをスキップ_4章",0,0,,,
,"ジャンプ",,0,,"外に出る",0,0,,,
