シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"賢者の家_フェード前4章",,,0,,,0,0,,,
,"立ち絵追加","G_迷いの森4_ハルクと会話",1,"0","賢者の家_ハルク会話初回",3,0,"ハルク",,
,"立ち絵追加","*else",0,,"MID_ADV2_ハルク",3,0,"ハルク",,
,"サブルーチン終了",,0,,,0,0,,,
"賢者の家_ハルク会話初回",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV1_ハルク1_1",3,0,,,
,"スキップ中断",,0,,,0,0,,,
,"効果音再生",,0,,"FF_POSITIVE2",0,0,"ジングル",,
,"ダイアログ",,0,,"MID_ADV1_ハルク_確認",0,0,,,
,"会話",,0,,"MID_ADV1_ハルク1_2",3,0,,,
,"効果音再生",,0,,"SE_EVT_4_MAGIC_INCANTATION2",0,0,,,
,"フェードアウト",,0,,,2,0,,,
,"ウェイト",,0,,,1000,0,,,
,"フェード待ち",,0,,,0,0,,,
,"背景",,0,,"拠点_森_リゲル",0,0,,,
,"壁紙表示",,0,,,0,0,,,
,"フェードイン",,0,,,2,0,,,
,"フェード待ち",,0,,,0,0,,,
,"会話",,0,,"MID_ADV1_ハルク1_3",0,0,,,
,"効果音再生",,0,,"SE_EVT_4_MAGIC_INCANTATION3",0,0,,,
,"フェードアウト",,0,,,2,0,"white",,
,"フェード待ち",,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"GS_一枚絵表示",0,0,"Tlp_Ev_TalkIllusionCelica",,
,"フェードイン",,0,,,2,0,"white",,
,"フェード待ち",,0,,,0,0,,,
,"BGM再生",,0,,"BGM_EVT_LOVE_ABC",0,0,,,
,"スキップ中断",,0,,,0,0,,,
,"会話",,0,,"MID_ADV1_ハルク1_4",0,0,,,
,"効果音再生",,0,,"SE_EVT_4_MAGIC_INCANTATION3",0,0,,,
,"フェードアウト",,0,,,2,0,"white",,
,"ウェイト",,0,,,1000,0,,,
,"フェード待ち",,0,,,0,0,,,
,"BGM停止",,0,,,1,0,,,
,"サブルーチン呼び出し",,0,,"GS_一枚絵消去",0,0,,,
,"壁紙消去",,0,,,0,0,,,
,"背景",,0,,"拠点_賢者の里_賢者の家",0,0,,,
,"BGM停止",,0,,,0,0,,,
,"フェードイン",,0,,,2,0,,,
,"BGM再生",,0,,"BGM_EVT_DESTINY_B",2000,0,,,
,"フェード待ち",,0,,,0,0,,,
,"変数セット",,0,,"G_アルム転職許可",0,1,,,
,"変数セット",,0,,"G_迷いの森4_ハルクと会話",0,1,,,
,"ウェイト",,0,,,1000,0,,,
,"移動先許可",,0,,"森を出る",0,0,,,
,"会話メニュー再構築",,0,,,0,0,,,
"出入り口_フェード前4章",,,0,,,0,0,,,
,"立ち絵追加",,0,,"MID_ADV1_シスター",2,0,"シスター",,
,"サブルーチン終了",,0,,,0,0,,,
"広場_フェード前4章",,,0,,,0,0,,,
,"立ち絵追加",,0,,"MID_ADV1_女性",2,0,"女性",,
,"立ち絵追加",,0,,"MID_ADV1_男性",4,0,"男性",,
,"サブルーチン終了",,0,,,0,0,,,
"集会所_フェード前4章",,,0,,,0,0,,,
,"立ち絵追加","G_迷いの森4_集会所人消失",1,"0","集会所_おじさん消去イベント",2,0,"おじさん",,
,"立ち絵追加",,0,,"MID_ADV1_おばさん",4,0,"おばさん",,
,"サブルーチン終了",,0,,,0,0,,,
"集会所_おじさん消去イベント",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV1_おじさん",2,0,,,
,"立ち絵消去",,0,,"おじさん",2,0,,,
,"変数セット",,0,,"消失直後",0,1,,,
,"変数セット",,0,,"G_迷いの森4_集会所人消失",0,1,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"会話メニュー再構築",,0,,,0,0,,,
