シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"コメント",,0,,"初期化",0,0,,,
,"ローカル変数",,0,,"SUB25初回会話",0,0,,,
,"ローカル変数",,0,,"SUB36釣果計算",0,0,,,
,"ローカル変数",,0,,"SUB36釣果チェック",0,0,,,
,"ローカル変数",,0,,"お菓子チェック",0,0,,,
,"ローカル変数",,0,,"お菓子コラボチェック",0,0,,,
,"ローカル変数",,0,,"3姉妹生存チェック",0,0,,,
,"ローカル変数",,0,,"2出入り口_初回イベント",0,0,,,
,"サブルーチン呼び出し","*章",1,"2","変数設定_2章",0,0,,,
,"拠点会話追加",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"メイン",0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_ソフィアの港",0,0,,,
,"ジャンプ","*訪問済み",2,"True","桟橋",0,0,,,
,"ジャンプ",,0,,"出入り口",0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"変数セット",,0,,"3姉妹生存チェック",0,0,,,
,"変数セット","G_ギースの砦内部3_エスト会話",4,"1","G_ソフィアの港3_カチュア会話",0,1,,,
,"変数セット","G_ギースの砦内部3_エスト会話",4,"1","G_ソフィアの港3_パオラ会話",0,1,,,
,"サブルーチン呼び出し","*章",1,"2","初期化_変数設定2章",0,0,,,
,"変数セット","*章",4,"3","2出入り口_初回イベント",0,1,,,
,"スポットフラグ","*章",4,"3","訪問済み",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_ソフィアの港",,,0,,,0,0,,,
,"コメント",,0,,"移動先",0,0,,,
,"ミニマップ",,0,,"AdvMap_SofiaPort",0,0,,,
,"移動先追加",,0,,"桟橋",0,0,,,
,"移動先追加",,0,,"出入り口",0,0,,,
,"移動先追加",,0,,"酒場",0,0,,,
,"移動先追加",,0,,"港を出る",1,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"桟橋",,,0,,,0,0,,,
,"背景",,0,,"拠点_ソフィアの港_桟橋",0,0,,,
,"サブルーチン呼び出し","*訪問済み",2,"True","桟橋_2章フェード前",0,0,,,
,"サブルーチン呼び出し","*章",3,"3","桟橋_SUB11",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"サブルーチン呼び出し","*訪問済み",2,"True","桟橋_初回イベント2章",0,0,,,
,"コマンド実行",,0,,,0,0,,,
"出入り口",,,0,,,0,0,,,
,"コメント",,0,,"出入り口",0,0,,,
,"背景",,0,,"拠点_ソフィアの港_出入り口",0,0,,,
,"サブルーチン呼び出し","*章",1,"2","出入り口_2章フェード前",0,0,,,
,"サブルーチン呼び出し","*章",1,"3","出入り口_フェード前3章",0,0,,,
,"サブルーチン呼び出し","*章",4,"3","出入り口_３姉妹配置チェック",0,0,,,
,"サブルーチン呼び出し","*章",4,"3","出入り口_SUB06",0,0,,,
,"サブルーチン呼び出し","*章",4,"6","出入り口_SUB40",0,0,,,
,"サブルーチン呼び出し","*章",4,"3","出入り口_SUB711",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"サブルーチン呼び出し","2出入り口_初回イベント",1,"0","出入り口_初回イベント2章",0,0,,,
,"サブルーチン呼び出し","G_フリアの港6_進行",1,"1","出入り口_SUB40_フェード後",0,0,,,
,"コマンド実行",,0,,,0,0,,,
"出入り口_３姉妹配置チェック",,,0,,,0,0,,,
,"サブルーチン呼び出し","*クリア済み",1,"ソフィアの海岸","出入り口_３姉妹生存チェック",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"出入り口_３姉妹生存チェック",,,0,,,0,0,,,
,"変数セット","*死亡",1,"エスト","3姉妹生存チェック",1,1,,,
,"変数セット","G_ソフィアの海岸3_パオラ死亡",1,"1","3姉妹生存チェック",1,1,,,
,"変数セット","G_ソフィアの海岸3_カチュア死亡",1,"1","3姉妹生存チェック",1,1,,,
,"サブルーチン呼び出し","3姉妹生存チェック",1,"0","出入り口_パオラチェック",0,0,,,
,"サブルーチン呼び出し","3姉妹生存チェック",1,"0","出入り口_カチュアチェック",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"出入り口_パオラチェック",,,0,,,0,0,,,
,"立ち絵追加","*加入",2,"パオラ","パオラ仲間入り_選択",3,0,"パオラ",,
,"サブルーチン終了",,0,,,0,0,,,
"パオラと会話",,,0,,,0,0,,,
,"会話","G_ソフィアの港3_パオラ会話",1,"0","MID_ADV_C_パオラ_a",3,0,,,
,"会話","G_ソフィアの港3_パオラ会話",1,"1","MID_ADV2_C_パオラ",3,0,,,
,"変数セット",,0,,"G_ソフィアの港3_パオラ会話",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"パオラと会話2",,,0,,,0,0,,,
,"会話","G_ソフィアの港3_パオラ会話",1,"0","MID_ADV_C_パオラ_b",3,0,,,
,"会話","G_ソフィアの港3_パオラ会話",1,"1","MID_ADV2_C_パオラ",3,0,,,
,"変数セット",,0,,"G_ソフィアの港3_パオラ会話",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"パオラ仲間入り_選択",,,0,,,0,0,,,
,"サブルーチン呼び出し","*加入",2,"カチュア","パオラと会話",0,0,,,
,"サブルーチン呼び出し","*else",0,,"パオラと会話2",0,0,,,
,"はい・いいえ選択",,0,,"MID_ADV_C_パオラ_SELECT",0,0,,,
,"はい選択",,0,,"パオラ仲間入り_加入",0,0,,,
,"いいえ選択",,0,,"パオラ仲間入り_拒否",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"パオラ仲間入り_加入",,,0,,,0,0,,,
,"仲間入り","*加入",2,"パオラ","パオラ",0,0,,,
,"立ち絵消去",,0,,"パオラ",3,0,,,
,"会話メニュー再構築",,0,,,0,0,,,
"パオラ仲間入り_拒否",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV_C_パオラ2",3,0,,,
,"会話終了",,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"出入り口_カチュアチェック",,,0,,,0,0,,,
,"立ち絵追加","*加入",2,"カチュア","カチュア仲間入り_選択",2,0,"カチュア",,
,"サブルーチン終了",,0,,,0,0,,,
"カチュアと会話",,,0,,,0,0,,,
,"会話","G_ソフィアの港3_カチュア会話",1,"0","MID_ADV_C_カチュア_a",2,0,,,
,"会話","G_ソフィアの港3_カチュア会話",1,"1","MID_ADV2_C_カチュア",2,0,,,
,"変数セット",,0,,"G_ソフィアの港3_カチュア会話",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"カチュアと会話2",,,0,,,0,0,,,
,"会話","G_ソフィアの港3_カチュア会話",1,"0","MID_ADV_C_カチュア_b",2,0,,,
,"会話","G_ソフィアの港3_カチュア会話",1,"1","MID_ADV2_C_カチュア",2,0,,,
,"変数セット",,0,,"G_ソフィアの港3_カチュア会話",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"カチュア仲間入り_選択",,,0,,,0,0,,,
,"サブルーチン呼び出し","*加入",2,"パオラ","カチュアと会話",0,0,,,
,"サブルーチン呼び出し","*else",0,,"カチュアと会話2",0,0,,,
,"はい・いいえ選択",,0,,"MID_ADV_C_カチュア_SELECT",0,0,,,
,"はい選択",,0,,"カチュア仲間入り_加入",0,0,,,
,"いいえ選択",,0,,"カチュア仲間入り_拒否",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"カチュア仲間入り_加入",,,0,,,0,0,,,
,"仲間入り","*加入",2,"カチュア","カチュア",0,0,,,
,"立ち絵消去",,0,,"カチュア",2,0,,,
,"会話メニュー再構築",,0,,,0,0,,,
"カチュア仲間入り_拒否",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV_C_カチュア2",2,0,,,
,"会話終了",,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"酒場",,,0,,,0,0,,,
,"背景",,0,,"拠点_ソフィアの港_酒場",0,0,,,
,"サブルーチン呼び出し","*章",1,"2","酒場_フェード前2章",0,0,,,
,"サブルーチン呼び出し",,0,,"酒場_SUB04",0,0,,,
,"サブルーチン呼び出し","*章",4,"3","酒場_SUB25",0,0,,,
,"サブルーチン呼び出し","G_SUB_35出られなくなった男",1,"2","酒場_SUB36",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"港を出る",,,0,,,0,0,,,
,"BGM停止",,0,,,1,0,,,
,"環境音停止",,0,,,1,0,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"アドベンチャーをスキップ",,,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"2","アドベンチャーをスキップ_2章",0,0,,,
,"サブルーチン呼び出し","*章",4,"3","アドベンチャーをスキップ_3章",0,0,,,
,"ジャンプ",,0,,"港を出る",0,0,,,
