シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"酒場_SUB04",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_SUB_04お菓子",3,"1","SUB04_クリア前立ち絵",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"SUB04_クリア前立ち絵",,,0,,,0,0,,,
,"立ち絵追加",,0,,"SUB04_クリア前会話",5,0,"女性","MPID_酒場の主人の妻",
,"サブルーチン終了",,0,,,0,0,,,
"SUB04_クリア前会話",,,0,,,0,0,,,
,"会話","G_SUB_04お菓子",1,"1","MID_SUB4_2_1",5,0,,,
,"会話","*else",0,,"MID_SUB4_1_1",5,0,,,
,"変数セット",,0,,"G_SUB_04お菓子",0,1,,,
,"はい・いいえ選択",,0,,"MID_SUB4_1_確認1",0,0,,,
,"はい選択",,0,,"SUB04_材料渡す",0,0,,,
,"いいえ選択",,0,,"SUB04_材料渡さない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"SUB04_材料渡す",,,0,,,0,0,,,
,"変数セット",,0,,"お菓子チェック",0,0,,,
,"変数セット",,0,,"お菓子コラボチェック",0,0,,,
,"変数セット","*IID_小麦粉",4,"1","お菓子チェック",1,1,,,
,"変数セット","*IID_はちみつ",4,"1","お菓子チェック",1,1,,,
,"サブルーチン呼び出し","*IID_はちみつ",5,"1","SUB04_材料渡す_はちみつコラボチェック",0,0,,,
,"変数セット","*IID_バター",4,"1","お菓子チェック",1,1,,,
,"会話","お菓子チェック",1,"3","MID_SUB4_1_2",5,0,,,
,"アイテム消費","お菓子チェック",1,"3","IID_小麦粉",0,0,,,
,"サブルーチン呼び出し","お菓子チェック",1,"3","SUB04_材料渡す_はちみつコラボ消費",0,0,,,
,"アイテム消費","お菓子チェック",1,"3","IID_バター",0,0,,,
,"アイテム入手","お菓子チェック",1,"3","IID_スイートクッキー",0,0,,,
,"変数セット","お菓子チェック",1,"3","G_SUB_04お菓子",0,2,,,
,"会話メニュー再構築","お菓子チェック",1,"3",,0,0,,,
,"会話",,0,,"MID_SUB4_1_4",5,0,,,
,"会話終了",,0,,,0,0,,,
