シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"出入り口_フェード前4章",,,0,,,0,0,,,
,"立ち絵追加","G_リゲル平野4_ジーク死亡",2,"1","MID_ADV1_おじさん",2,0,"おじさん",,
,"立ち絵追加","*else",0,,"MID_ADV2_おじさん",2,0,"おじさん",,
,"サブルーチン終了",,0,,,0,0,,,
"広場_フェード前4章",,,0,,,0,0,,,
,"立ち絵追加","G_リゲル平野4_ジーク死亡",2,"1","MID_ADV1_男性",2,0,"男性",,
,"立ち絵追加","*else",0,,"MID_ADV2_男性",2,0,"男性",,
,"サブルーチン終了",,0,,,0,0,,,
"民家２_フェード前4章",,,0,,,0,0,,,
,"立ち絵追加","G_リゲル平野4_ジーク死亡",2,"1","MID_ADV1_老人",2,0,"老人",,
,"立ち絵追加","*else",0,,"MID_ADV2_老人",2,0,"老人",,
,"立ち絵追加","G_リゲル平野4_ジーク死亡",2,"1","MID_ADV1_女性",4,0,"女性",,
,"立ち絵追加","*else",0,,"MID_ADV2_女性",4,0,"女性",,
,"サブルーチン終了",,0,,,0,0,,,
