シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"村の広場_SUB21",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_SUB_21盗賊をこらしめて",3,"1","SUB21_クリア前",0,0,,,
,"サブルーチン呼び出し","G_SUB_21盗賊をこらしめて",1,"2","SUB21_クリア後",0,0,,,
,"変数セット","G_SUB_21盗賊をこらしめて",1,"2","G_SUB_21盗賊をこらしめて",0,3,,,
,"サブルーチン終了",,0,,,0,0,,,
"SUB21_クリア前",,,0,,,0,0,,,
,"立ち絵追加","G_SUB_21盗賊をこらしめて",1,"1","SUB21_クリア前_計算",9,0,"女性","MPID_腹を立てる女性",
,"立ち絵追加","G_SUB_21盗賊をこらしめて",1,"0","SUB21_クリア前_初回",9,0,"女性","MPID_腹を立てる女性",
,"サブルーチン終了",,0,,,0,0,,,
"SUB21_クリア前_計算",,,0,,,0,0,,,
,"変数セット",,0,,"計算用",0,0,"G_撃破_盗賊男",,
,"変数セット",,0,,"計算用",2,0,"G_ラムの村1_SUB_21盗賊数",,
,"サブルーチン呼び出し","計算用",5,"20","SUB21_クリア前_20未満",9,0,,,
,"サブルーチン呼び出し","*else",0,,"SUB21_クリア前_達成",9,0,,,
,"会話メニュー再構築",,0,,,0,0,,,
"SUB21_クリア前_20未満",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB21_1_2",9,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"SUB21_クリア前_達成",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB21_1_3",9,0,,,
,"アイテム入手",,0,,"IID_生命の木の実",0,0,,,
,"変数セット",,0,,"G_SUB_21盗賊をこらしめて",0,2,,,
,"名声上昇",,0,,,100,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"SUB21_クリア前_初回",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB21_1_1",9,0,,,
,"変数セット","G_撃破_盗賊男",6,"1000","G_撃破_盗賊男",0,1000,,,
,"変数セット",,0,,"G_SUB_21盗賊をこらしめて",0,1,,,
,"変数セット",,0,,"G_ラムの村1_SUB_21盗賊数",0,0,"G_撃破_盗賊男",,
,"会話メニュー再構築",,0,,,0,0,,,
"SUB21_クリア後",,,0,,,0,0,,,
,"立ち絵追加",,0,,"MID_SUB21_2",9,0,"女性","MPID_腹を立てる女性",
,"サブルーチン終了",,0,,,0,0,,,
"村の広場_SUB02",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_SUB_02ラム葡萄酒",3,"1","SUB02_クリア前",0,0,,,
,"サブルーチン呼び出し","G_SUB_02ラム葡萄酒",4,"2","SUB02_クリア後",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"SUB02_クリア前",,,0,,,0,0,,,
,"立ち絵追加",,0,,"SUB02_クリア前_交渉",6,0,"老人","MPID_物欲しげな老人",
,"サブルーチン終了",,0,,,0,0,,,
"SUB02_クリア前_交渉",,,0,,,0,0,,,
,"会話","G_SUB_02ラム葡萄酒",1,"1","MID_SUB2_2_2",6,0,,,
,"会話","*else",0,,"MID_SUB2_1_1",6,0,,,
,"変数セット",,0,,"G_SUB_02ラム葡萄酒",0,1,,,
,"会話終了","*IID_ラムの葡萄酒",5,"1",,0,0,,,
,"はい・いいえ選択",,0,,"MID_SUB2_1_確認1",0,0,,,
,"はい選択",,0,,"SUB02_酒渡す",0,0,,,
,"いいえ選択",,0,,"SUB02_酒渡さない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"SUB02_酒渡す",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB2_1_2",6,0,,,
,"アイテム消費",,0,,"IID_ラムの葡萄酒",0,0,,,
,"アイテム入手",,0,,"IID_青カビチーズ",0,0,,,
,"変数セット",,0,,"G_SUB_02ラム葡萄酒",0,2,,,
,"名声上昇",,0,,,100,0,,,
,"会話メニュー再構築",,0,,,0,0,,,
"SUB02_酒渡さない",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB2_1_3",6,0,,,
,"会話終了",,0,,,0,0,,,
"SUB02_クリア後",,,0,,,0,0,,,
,"立ち絵追加","G_迷路_盗賊のほこら１_event2",5,"2","SUB02_クリア後会話",6,0,"老人","MPID_物欲しげな老人",
,"サブルーチン終了",,0,,,0,0,,,
"SUB02_クリア後会話",,,0,,,0,0,,,
,"会話","G_SUB_02ラム葡萄酒",1,"2","MID_SUB2_2_1",6,0,,,
,"会話","*else",0,,"MID_SUB2_3",6,0,,,
,"変数セット","G_迷路_盗賊のほこら１_event2",5,"1","G_迷路_盗賊のほこら１_event2",0,1,,,
,"変数セット","G_SUB_02ラム葡萄酒",1,"2","G_SUB_02ラム葡萄酒",0,3,,,
,"会話終了",,0,,,0,0,,,
