シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"変数設定_2章",,,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定2章",,,0,,,0,0,,,
,"変数セット","*訪問済み",2,"True","2出入り口_初回イベント",0,0,,,
,"変数セット","*訪問済み",1,"True","2出入り口_初回イベント",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"桟橋_2章フェード前",,,0,,,0,0,,,
,"立ち絵追加",,0,,,4,0,"男性",,
,"立ち絵追加",,0,,,2,0,"女性",,
,"サブルーチン終了",,0,,,0,0,,,
"桟橋_初回イベント2章",,,0,,,0,0,,,
,"会話",,0,,"MID_EV1",3,0,,,
,"立ち絵消去",,0,,"男性",4,0,,,
,"ウェイト",,0,,,1500,0,,,
,"会話",,0,,"MID_EV1_2",3,0,,,
,"立ち絵消去",,0,,"女性",2,0,,,
,"ウェイト",,0,,,1500,0,,,
,"会話",,0,,"MID_EV1_3",3,0,,,
,"スポットフラグ",,0,,"訪問済み",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"出入り口_2章フェード前",,,0,,,0,0,,,
,"スキップ中断","2出入り口_初回イベント",1,"0",,0,0,,,
,"立ち絵追加","2出入り口_初回イベント",1,"0",,1,0,"男性",,
,"立ち絵追加",,0,,"MID_ADV1_パオラ",3,0,"パオラ",,
,"立ち絵追加",,0,,"MID_ADV1_カチュア",4,0,"カチュア",,
,"サブルーチン終了",,0,,,0,0,,,
"出入り口_初回イベント2章",,,0,,,0,0,,,
,"会話",,0,,"MID_EV2",1,0,,,
,"立ち絵消去",,0,,"男性",1,0,,,
,"変数セット",,0,,"2出入り口_初回イベント",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"酒場_フェード前2章",,,0,,,0,0,,,
,"立ち絵追加",,0,,"酒場_男性と会話2章",4,0,"男性",,
,"立ち絵追加",,0,,"酒場_おばさんと会話2章",2,0,"おばさん",,
,"サブルーチン終了",,0,,,0,0,,,
"酒場_男性と会話2章",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV1_男性",4,1,,,
,"会話終了",,0,,,0,0,,,
"酒場_おばさんと会話2章",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV1_おばさん",2,1,,,
,"会話終了",,0,,,0,0,,,
"アドベンチャーをスキップ_2章",,,0,,,1,0,,,
,"サブルーチン終了",,0,,,0,0,,,
