シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"玄関_フェード前2章",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_ソフィア城2_バトル勝利",2,"True","玄関_フェード前2章立ち絵",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"玄関_フェード前2章立ち絵",,,0,,,0,0,,,
,"立ち絵追加",,0,,"傭兵と会話2章",4,0,"傭兵（青）","MPID_ソフィア兵",
,"立ち絵追加",,0,,"ソルジャーと会話2章",2,0,"ソルジャー（青）","MPID_ソフィア兵",
,"サブルーチン終了",,0,,,0,0,,,
"2章はじめのセリカバトル",,,0,,,0,0,,,
,"サブルーチン呼び出し","*セリカ訪問済み",2,"True","2章セリカバトル",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"2章セリカバトル",,,0,,,0,0,,,
,"コメント",,0,,"2章セリカバトル",0,0,,,
,"変数セット",,0,,"G_ソフィア城1_バルコニー移動許可",0,0,,,
,"背景",,0,,"ソフィアの門",0,0,,,
,"BGM停止",,0,,,0,0,,,
,"壁紙表示",,0,,,0,0,,,
,"フェードイン",,0,,,1,0,,,
,"会話",,0,,"MID_OP1_1",0,0,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"壁紙消去",,0,,,0,0,,,
,"バトル",,0,,"ソフィアの門２",1,0,,,
,"ジャンプ","*結果",1,"退却","終了",0,0,,,
,"サブルーチン呼び出し","G_ソフィア城2_バトル勝利",2,"True","玄関_2章セリカバトル勝利",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"玄関_2章セリカバトル勝利",,,0,,,0,0,,,
,"背景",,0,,"ソフィアの門",0,0,,,
,"環境音再生",,0,,"STRM_AMB_WIND01",0,0,,,
,"BGM停止",,0,,,0,0,,,
,"壁紙表示",,0,,,0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"会話",,0,,"MID_ED1",0,0,,,
,"フェードアウト",,0,,,2,0,,,
,"フェード待ち",,0,,,0,0,,,
,"背景",,0,,"拠点_森_ソフィア",0,0,,,
,"フェードイン",,0,,,2,0,,,
,"フェード待ち",,0,,,0,0,,,
,"BGM再生",,0,,"BGM_EVT_SCHEME",0,0,,,
,"スキップ中断",,0,,,0,0,,,
,"会話",,0,,"MID_ED2",0,0,,,
,"BGM停止",,0,,,2,0,,,
,"スポットフラグ",,0,,"セリカ訪問済み",0,1,,,
,"フェードアウト",,0,,,2,0,,,
,"フェード待ち",,0,,,0,0,,,
,"壁紙消去",,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"傭兵と会話2章",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV1_傭兵",4,0,"傭兵","MPID_ソフィア兵",
,"会話終了",,0,,,0,0,,,
"ソルジャーと会話2章",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV1_ソルジャー",2,0,"ソルジャー","MPID_ソフィア兵",
,"会話終了",,0,,,0,0,,,
"中央ホール_フェード前2章",,,0,,,0,0,,,
,"立ち絵追加",,0,,"おばさんと会話2章",4,0,"おばさん",,
,"立ち絵追加",,0,,"女性と会話2章",5,0,"女性",,
,"サブルーチン終了",,0,,,0,0,,,
"おばさんと会話2章",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV1_おばさん",4,0,,,
,"会話終了",,0,,,0,0,,,
"女性と会話2章",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV1_女性",5,0,,,
,"会話終了",,0,,,0,0,,,
"階段2章",,,0,,,0,0,,,
,"変数セット",,0,,"G_ソフィア城1_バルコニー移動許可",0,3,,,
,"立ち絵追加",,0,,,3,0,"マイセン",,
,"壁紙表示",,0,,,0,0,,,
,"フェードイン",,0,,,1,0,,,
,"会話",,0,,"MID_ADV1_マイセン",0,0,,,
,"フェードアウト",,0,,,2,0,,,
,"フェード待ち",,0,,,0,0,,,
,"ジャンプ",,0,,"バルコニー",0,0,,,
"バルコニー_フェード前2章",,,0,,,0,0,,,
,"BGM再生",,0,,"BGM_EVT_LOVE_BC",0,0,,,
,"立ち絵追加",,0,,,3,0,"アルム",,
,"サブルーチン終了",,0,,,0,0,,,
"バルコニー_2章ムービー",,,0,,,0,0,,,
,"壁紙表示",,0,,,0,0,,,
,"ムービー",,0,,"Mov_Ep05_Fates",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"バルコニー_2章エンディングへ",,,0,,,0,0,,,
,"壁紙表示",,0,,,0,0,,,
,"ウェイト",,0,,,100,0,,,
,"フェードイン",,0,,,2,0,,,
,"ウェイト",,0,,,1000,0,,,
,"会話",,0,,"MID_EV1",3,0,,,
,"テロップ表示",,0,,"Tlp_Ev_Quarrel",0,0,,,
,"会話",,0,,"MID_EV2",3,0,,,
,"BGM再生",,0,,"BGM_EVT_DESTINY_A",0,0,,,
,"テロップ読み込み待ち",,0,,"Tlp_Ev_Quarrel",0,0,,,
,"スキップ中断",,0,,,0,0,,,
,"字幕再生",,0,,"Tlp_Ev_Quarrel",0,0,,,
,"BGM停止",,0,,,2,0,,,
,"環境音停止",,0,,,2,0,,,
,"フェードアウト",,0,,,2,0,,,
,"フェード待ち",,0,,,0,0,,,
,"壁紙消去",,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"GS_一枚絵消去",0,0,,,
,"ジャンプ",,0,,"エンディング2章",0,0,,,
"エンディング2章",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"GS_セーブメニュー",0,0,,,
,"章セット",,0,,"ソフィア城",3,1,,,
,"GMAPセット",,0,,"ソフィア城",1,1,,,
,"GMAPセット",,0,,"ソフィアの東",1,2,,,
,"イベントジャンプ",,0,,"ソフィア城",0,0,,,
,"終了",,0,,,0,0,,,
"アドベンチャーをスキップ_2章",,,0,,,1,0,,,
,"変数セット",,0,,"G_ソフィア城2_バトル勝利",0,1,,,
,"スポットフラグ",,0,,"セリカ訪問済み",0,1,,,
,"ジャンプ",,0,,"エンディング2章",0,0,,,
