シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"グローバル変数",,0,,"G_E019_報酬管理",0,0,,,
,"ローカル変数",,0,,"ローカル変数１",0,0,,,
,"ローカル変数",,0,,"ローカル変数２",0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"オープニング",0,0,,,
,"バトル",,0,,"E019",0,0,,,
,"ジャンプ","*結果",1,"退却","終了",0,0,,,
,"サブルーチン呼び出し",,0,,"エンディング",0,0,,,
,"サブルーチン呼び出し",,0,,"GS_セーブメニュー",0,0,,,
,"終了",,0,,,0,0,,,
"オープニング",,,0,,,0,0,,,
,"スポットフラグ",,0,,"訪問済み",0,1,,,
,"章タイトル",,0,,"暦表示なし",0,0,,,
,"背景",,0,,"山の墓場",0,0,,,
,"BGM停止",,0,,,0,0,,,
,"環境音停止",,0,,,0,0,,,
,"環境音再生",,0,,"STRM_AMB_NIGHT",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"会話",,0,,"MID_OP1",0,0,,,
,"環境音停止",,0,,,1,0,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"背景",,0,,"E019",0,0,,,
,"BGM停止",,0,,,0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"会話",,0,,"MID_OP2",0,0,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"背景",,0,,"E019",0,0,,,
,"BGM再生",,0,,"BGM_MAP_D_CAVE",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"会話",,0,,"MID_OP3",0,0,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"エンディング",,,0,,,0,0,,,
,"背景",,0,,"ソフィアの森２",0,0,,,
,"BGM停止",,0,,,0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"会話",,0,,"MID_ED1",0,0,,,
,"BGM停止",,0,,,1500,0,,,
,"環境音停止",,0,,,1500,0,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"支援会話データ作成","*クリア済み",2,"True","PID_クレア",0,0,"PID_マチルダ",,
,"支援会話データ作成","*クリア済み",2,"True","PID_マチルダ",0,0,"PID_フェルナン",,
,"背景表示",,0,,,0,0,,,
,"ウェイト",,0,,,1000,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"アイテム入手","*クリア済み",2,"True","IID_記憶の欠片１３",0,0,,,
,"アイテム入手","G_E019_報酬管理",1,"1","IID_クレアの槍",0,0,,,
,"変数セット","G_E019_報酬管理",1,"1","G_E019_報酬管理",0,2,,,
,"BGM停止",,0,,,1000,0,,,
,"環境音停止",,0,,,1000,0,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"背景表示",,0,,,1,0,,,
,"スポットフラグ",,0,,"クリア済み",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"終了",,,0,,,0,0,,,
,"終了",,0,,,0,0,,,
