シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"牢前強制会話",0,0,,,
,"拠点会話追加",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"メイン",0,0,,,
,"スポットフラグ","*訪問済み",2,"True","訪問済み",0,1,,,
,"サブルーチン呼び出し",,0,,"移動先_砂漠の砦内部",0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"ジャンプ",,0,,"玄関",0,0,,,
"移動先_砂漠の砦内部",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_DesertFort",0,0,,,
,"移動先追加",,0,,"玄関",0,0,,,
,"移動先追加",,0,,"牢獄",0,0,,,
,"移動先追加",,0,,"作戦室",0,0,,,
,"移動先追加",,0,,"外に出る",1,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"変数セット",,0,,"牢前強制会話",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"玄関",,,0,,,0,0,,,
,"背景",,0,,"拠点_砂漠の砦_玄関",0,0,,,
,"サブルーチン呼び出し","*章",1,"3","玄関_フェード前3章",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"牢獄",,,0,,,0,0,,,
,"背景","牢前強制会話",2,"1","拠点_砂漠の砦_牢獄",0,0,,,
,"サブルーチン呼び出し","*加入",2,"ジェシー","牢獄ジェシー立ち絵",0,0,,,
,"調べるポイント追加","G_砂漠の砦内部3_ジェシー会話",1,"0","扉_調べる",0,0,"irondoor",,
,"オブジェクトセット","G_砂漠の砦内部3_ジェシー会話",4,"1","irondoor",5,0,,,
,"サブルーチン呼び出し","*クリア済み",1,"True","牢獄_SUB29",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"現在地表示",,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"3","牢獄_フェード後3章",0,0,,,
,"コマンド実行",,0,,,0,0,,,
"扉_調べる",,,0,,,0,0,,,
,"はい・いいえ選択",,0,,"MID_ADV_C_Door",0,0,,,
,"はい選択",,0,,"ジェシー仲間入り_選択",0,0,,,
,"いいえ選択",,0,,"扉_開けない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"扉_開けない",,,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄ジェシー立ち絵",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"牢獄ジェシー立ち絵2",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄ジェシー立ち絵2",,,0,,,0,0,,,
,"立ち絵追加","G_砂漠の砦内部3_ジェシー会話",1,"0","ジェシーと会話_扉開前",6,0,"ジェシー","MID_ADV_C_NAMEジェシー","デプステスト有り"
,"立ち絵追加","G_砂漠の砦内部3_ジェシー会話",1,"1","ジェシー仲間入り_選択",6,0,"ジェシー",,"デプステスト有り"
,"立ち絵追加","G_砂漠の砦内部3_ジェシー会話",1,"2","ジェシー仲間入り_選択",6,0,"ジェシー",,"デプステスト有り"
,"サブルーチン終了",,0,,,0,0,,,
"ジェシーと会話_扉開前",,,0,,,0,0,,,
,"はい・いいえ選択",,0,,"MID_ADV_C_Door",0,0,,,
,"はい選択",,0,,"ジェシー仲間入り_選択",0,0,,,
,"いいえ選択",,0,,"ジェシーと会話_開けない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"ジェシーと会話_開けない",,,0,,,0,0,,,
,"会話終了",,0,,,0,0,,,
"ジェシーと会話",,,0,,,0,0,,,
,"オブジェクトセット","G_砂漠の砦内部3_ジェシー会話",1,"0","irondoor",5,0,,,
