シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"外へ出る会話チェック",0,0,,,
,"ローカル変数",,0,,"お薬チェック",0,0,,,
,"ローカル変数",,0,,"SUB15盾チェック",0,0,,,
,"ローカル変数",,0,,"SUB15盾計算",0,0,,,
,"ローカル変数",,0,,"記憶の欠片計算",0,0,,,
,"ローカル変数",,0,,"ジーク会話チェック",0,0,,,
,"拠点会話追加",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"５章以降で初めて入った時対策",0,0,,,
,"変数セット","*章",4,"5","G_リゲルの村4_ジーク会話",0,1,,,
,"スポットフラグ","*章",4,"5","訪問済み",0,1,,,
,"サブルーチン呼び出し",,0,,"移動先_リゲルの村",0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"ジャンプ",,0,,"出入り口",0,0,,,
"移動先_リゲルの村",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_RigelVillage",0,0,,,
,"移動先追加",,0,,"広場",0,0,,,
,"移動先追加",,0,,"民家１",0,0,,,
,"移動先追加",,0,,"民家２",0,0,,,
,"移動先追加",,0,,"出入り口",0,0,,,
,"移動先追加",,0,,"鍛冶屋",0,0,,,
,"移動先追加",,0,,"村を出る",1,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"変数セット",,0,,"外へ出る会話チェック",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"鍛冶屋",,,0,,,0,0,,,
,"背景",,0,,"拠点_リゲル村_鍛冶屋",0,0,,,
,"サブルーチン呼び出し",,0,,"GS_鍛冶屋立ち絵追加",0,0,,,
,"サブルーチン呼び出し",,0,,"鍛冶屋_SUB15",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"広場",,,0,,,0,0,,,
,"背景",,0,,"拠点_リゲル村_広場",0,0,,,
,"サブルーチン呼び出し","*章",1,"4","広場_フェード前4章",0,0,,,
,"サブルーチン呼び出し",,0,,"広場_SUB17",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"民家１",,,0,,,0,0,,,
,"変数セット",,0,,"ジーク会話チェック",0,0,,,
,"背景",,0,,"拠点_リゲル村_民家１",0,0,,,
,"サブルーチン呼び出し","G_リゲル平野4_ジークイベント",1,"1","民家１_ジーク",0,0,,,
,"フェードイン","ジーク会話チェック",5,"1",,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"民家１_ジーク",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_リゲル平野4_ジーク死亡",2,"1","ジーク死亡判定",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"ジーク死亡判定",,,0,,,0,0,,,
,"サブルーチン呼び出し","*加入",2,"ジーク","ジーク立ち絵判定",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"ジーク立ち絵判定",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_リゲルの村4_ジーク会話",5,"1","ジーク仲間入り_選択_初回会話",0,0,,,
,"サブルーチン呼び出し","*else",0,,"ジーク立ち絵",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"ジーク立ち絵",,,0,,,0,0,,,
,"立ち絵追加",,0,,"ジーク仲間入り_選択",3,0,"ジーク",,
,"サブルーチン終了",,0,,,0,0,,,
"ジークと会話",,,0,,,0,0,,,
,"変数セット","G_リゲルの村4_ジーク会話",5,"1","ジーク会話チェック",0,1,,,
,"フェードイン","G_リゲルの村4_ジーク会話",5,"1",,1,0,,,
,"会話","G_リゲルの村4_ジーク会話",1,"0","MID_ADV_C_ジーク1_1",3,0,,,
,"フェードアウト","G_リゲルの村4_ジーク会話",1,"0",,1,0,,,
,"フェード待ち","G_リゲルの村4_ジーク会話",1,"0",,0,0,,,
