シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"ダンジョンの帰り",0,0,,,
,"ローカル変数",,0,,"ダンジョン",0,0,,,
,"ローカル変数",,0,,"3章以降シルク削除",0,0,,,
,"ローカル変数",,0,,"シルク切り替え",0,0,,,
,"ローカル変数",,0,,"ほこらの泉へ進む許可",0,0,,,
,"拠点会話追加","*加入",1,"シルク",,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"ジャンプ",,0,,"ほこらの入り口",0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"変数セット",,0,,"シルク切り替え",0,0,,,
,"変数セット",,0,,"3章以降シルク削除",0,0,,,
,"変数セット","*章",4,"3","3章以降シルク削除",0,1,,,
,"変数セット","*章",4,"5","G_盗賊のほこら1_シルク_仲間入り",0,1,,,
,"スポットフラグ","*章",4,"3","クリア済み",0,1,,,
,"変数セット",,0,,"ダンジョン",0,1,,,
,"サブルーチン呼び出し","*章",4,"2","初期化_変数設定デバッグ",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定デバッグ",,,0,,,0,0,,,
,"変数セット","*章",4,"2","G_盗賊のほこら1_ボス撃破済み",0,1,,,
,"変数セット","*章",4,"2","G_盗賊のほこら1_初回訪問",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"マップ設定_盗賊のほこら_入口",,,0,,,0,0,,,
,"ミニマップ",,0,,"AdvMap_TozokuHokora_Ent",0,0,"MID_ADV_GROUP_盗賊のほこら入口付近",,
,"移動先追加",,0,,"ほこらの入り口",0,0,,,
,"移動先追加",,0,,"ほこらの奥",2,0,,,
,"移動先追加",,0,,"ほこらを出る",1,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"マップ設定_盗賊のほこら_奥",,,0,,,0,0,,,
,"ミニマップ",,0,,"AdvMap_TozokuHokora_Mira",0,0,"MID_ADV_GROUP_盗賊のほこら内部",,
,"移動先追加",,0,,"戻る",2,0,,,
,"移動先追加",,0,,"ミラ神像",0,0,,,
,"移動先追加",,0,,"奥へ",2,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"ほこらの入り口",,,0,,,0,0,,,
