シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"変数設定_1章",,,0,,,0,0,,,
,"ローカル変数",,0,,"1_牢屋のカギ取得",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定_1章",,,0,,,0,0,,,
,"変数セット","G_南の砦内部1_牢の前初回",1,"0","1_牢屋のカギ取得",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"作戦室_1章",,,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄_1章",,,0,,,0,0,,,
,"サブルーチン呼び出し","*加入",2,"クレア","クレア救出願い",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄_フェードイン前_1章",,,0,,,0,0,,,
,"立ち絵追加","*加入",2,"クレア","クレアと会話",6,0,"クレア",,"デプステスト有り"
,"立ち絵追加","*加入",1,"クレア","MID_ADV1_ソルジャー",5,0,"ソルジャー（青）","MPID_解放軍兵士",
,"調べるポイント追加","G_南の砦内部1_牢獄の鍵入手",1,"False","牢獄の鍵取得選択",0,0,"adv_key_1",,
,"調べるポイント追加","*加入",2,"クレア","扉を調べる",0,0,"irondoor",,
,"オブジェクトセット","*加入",1,"クレア","adv_key_1",2,0,,,
,"オブジェクトセット","*加入",1,"クレア","irondoor",5,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"クレア救出願い",,,0,,,0,0,,,
,"サブルーチン終了","G_南の砦内部1_牢の前初回",1,"True",,0,0,,,
,"ウェイト",,0,,,2000,0,,,
,"変数セット",,0,,"G_南の砦内部1_牢の前初回",0,1,,,
,"会話",,0,,"MID_EV1",6,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄の鍵取得選択",,,0,,,0,0,,,
,"はい・いいえ選択",,0,,"MID_SUB18_1_2",0,0,,,
,"はい選択",,0,,"牢獄の鍵取得",0,0,,,
,"いいえ選択",,0,,"牢獄の鍵取得拒否",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"牢獄の鍵取得",,,0,,,0,0,,,
,"オブジェクトセット",,0,,"adv_key_1",2,0,,,
,"アイテム入手",,0,,"IID_牢獄の鍵",0,0,,,
,"変数セット",,0,,"G_南の砦内部1_牢獄の鍵入手",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"牢獄の鍵取得拒否",,,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"扉を調べる",,,0,,,0,0,,,
,"ダイアログ","G_南の砦内部1_牢獄の鍵入手",1,"False","MID_SUB18_1_1",0,0,,,
,"サブルーチン終了","G_南の砦内部1_牢獄の鍵入手",1,"False",,0,0,,,
,"はい・いいえ選択",,0,,"MID_SUB18_1_3",0,0,,,
,"はい選択",,0,,"クレアと会話_救出2",0,0,,,
,"いいえ選択",,0,,"クレアと会話_救出拒否2",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"クレアと会話",,,0,,,0,0,,,
,"会話","G_南の砦内部1_牢獄の鍵入手",1,"False","MID_EV3",6,0,,,
,"会話終了","G_南の砦内部1_牢獄の鍵入手",1,"False",,0,0,,,
,"はい・いいえ選択",,0,,"MID_SUB18_1_3",0,0,,,
,"はい選択",,0,,"クレアと会話_救出",0,0,,,
,"いいえ選択",,0,,"クレアと会話_救出拒否",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"クレアと会話_救出_共通",,,0,,,0,0,,,
,"オブジェクトセット",,0,,"irondoor",5,0,,,
,"ウェイト",,0,,,1000,0,,,
,"変数セット",,0,,"G_南の砦内部1_移動阻害",0,0,,,
,"会話",,0,,"MID_ADV1_クレア1_0",6,0,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"GS_一枚絵表示",0,0,"Tlp_Ev_BossyLady",,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"会話",,0,,"MID_ADV1_クレア1_1",6,0,,,
,"会話",,0,,"MID_ADV1_クレア1_2",6,1,,,
,"立ち絵消去",,0,,"クレア",6,0,,,
,"ウェイト",,0,,,500,0,,,
,"仲間入り","*加入",2,"クレア","クレア",0,0,,,
,"ウェイト",,0,,,500,0,,,
,"会話",,0,,"MID_ADV1_クレア1_3",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"クレアと会話_救出",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"クレアと会話_救出_共通",0,0,,,
,"コマンドメニュー再構築",,0,,,0,0,,,
"クレアと会話_救出拒否",,,0,,,0,0,,,
,"会話終了",,0,,,0,0,,,
"クレアと会話_救出2",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"クレアと会話_救出_共通",0,0,,,
,"コマンドメニュー再構築",,0,,,0,0,,,
"クレアと会話_救出拒否2",,,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"アドベンチャーをスキップ_1章",,,0,,,1,0,,,
,"仲間入り","*加入",2,"クレア","クレア",0,0,,,
,"変数セット",,0,,"G_南の砦内部1_移動阻害",0,0,,,
,"変数セット",,0,,"G_南の砦内部1_牢獄の鍵入手",0,1,,,
,"変数セット",,0,,"G_南の砦内部1_牢の前初回",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
