シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"ローカル変数１",0,0,,,
,"ローカル変数",,0,,"ローカル変数２",0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"GMAPイベント集",0,0,,,
,"サブルーチン呼び出し","G_ノーヴァの港2_演出",1,"1","ノーヴァの港演出",0,0,,,
,"サブルーチン呼び出し","G_リゲル城4_演出",1,"1","リゲル城演出",0,0,,,
,"サブルーチン呼び出し","G_ドゼーの砦3_クリア",1,"1","ドゼーの砦演出",0,0,,,
,"サブルーチン呼び出し","G_水門内部3_演出",1,"1","水門内部演出",0,0,,,
,"サブルーチン呼び出し","G_森の北3_演出",1,"1","森の北演出",0,0,,,
,"サブルーチン呼び出し","G_リゲルの森4_演出",1,"1","リゲルの森演出",0,0,,,
,"サブルーチン呼び出し","G_ドーマ神殿5_エンディング演出",1,"1","エンディング演出",0,0,,,
,"終了",,0,,,0,0,,,
"エンディング演出",,,0,,,0,0,,,
,"変数セット",,0,,"G_ドーマ神殿5_エンディング演出",0,0,,,
,"メッセージファイル読み込み",,0,,"ドーマの祭壇_5",0,0,,,
,"壁紙表示",,0,,,0,0,,,
,"背景",,0,,"拠点_ソフィア城_謁見の間",0,0,,,
,"BGM再生",,0,,"BGM_MAP_D_CASTLE",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"会話",,0,,"MID_ED1",0,0,,,
,"環境音停止",,0,,,1500,0,,,
,"フェードアウト",,0,,,2,0,"white",,
,"フェード待ち",,0,,,0,0,,,
,"カットシーン",,0,,"S00_END",0,0,,,
,"テロップ表示",,0,,"Tlp_Ev_RespondForContinent",0,0,,,
,"テロップ読み込み待ち",,0,,,0,0,,,
,"BGM再生",,0,,"BGM_SYS_ED1",0,0,,,
,"フェードイン",,0,,,2,0,"white",,
,"フェード待ち",,0,,,0,0,,,
,"字幕再生",,0,,"Tlp_Ev_RespondForContinent",0,0,,,
,"フェードアウト",,0,,,3000,0,"white",,
,"フェード待ち",,0,,,0,0,,,
,"ウェイト",,0,,,2000,0,,,
,"テロップ消去",,0,,,0,0,,,
,"メッセージファイル解放",,0,,"ドーマの祭壇_5",0,0,,,
,"エンディング",,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"リゲルの森演出",,,0,,,0,0,,,
,"変数セット",,0,,"G_リゲルの森4_演出",0,2,,,
,"メッセージファイル読み込み",,0,,"リゲルの森",0,0,,,
,"サブルーチン呼び出し",,0,,"GS_一枚絵表示",0,0,"Tlp_Ev_NuibabasConspire",,
,"壁紙表示",,0,,,0,0,,,
,"フェードイン",,0,,,2,0,,,
,"フェード待ち",,0,,,0,0,,,
,"会話",,0,,"MID_ED2",0,0,,,
,"フェードアウト",,0,,,2,0,,,
,"フェード待ち",,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"GS_一枚絵消去",0,0,,,
,"メッセージファイル解放",,0,,"リゲルの森",0,0,,,
,"サブルーチン呼び出し",,0,,"GS_セーブメニュー",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"森の北演出",,,0,,,0,0,,,
,"コメント",,0,,"森の北演出_GMAPエクセル",0,0,,,
,"変数セット",,0,,"G_森の北3_演出",0,2,,,
,"メッセージファイル読み込み",,0,,"森の北",0,0,,,
,"背景",,0,,"拠点_リゲル城_謁見の間２",0,0,,,
,"BGM停止",,0,,,0,0,,,
,"環境音停止",,0,,,0,0,,,
,"環境音再生",,0,,"STRM_AMB_INDOOR_L",0,0,,,
,"フェードイン",,0,,,2,0,,,
,"フェード待ち",,0,,,0,0,,,
,"会話",,0,,"MID_ED1",0,0,,,
,"フェードアウト",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
