シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"デューテ計算用",0,0,,,
,"ローカル変数",,0,,"SUB10計算用",0,0,,,
,"拠点会話追加","*加入",1,"デューテ",,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"メイン",0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_水門内部",0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"サブルーチン呼び出し","*章",1,"4","4章OPセッティング",0,0,,,
,"ジャンプ",,0,,"玄関",0,0,,,
"4章OPセッティング",,,0,,,0,0,,,
,"ジャンプ","G_水門内部4_オープニング",1,"0","水門の操作部",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_水門内部",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_Floodgate",0,0,,,
,"移動先追加",,0,,"玄関",0,0,,,
,"移動先追加",,0,,"水門の操作部",0,0,,,
,"移動先追加",,0,,"外に出る",1,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"玄関",,,0,,,0,0,,,
,"変数セット",,0,,"デューテ計算用",0,0,,,
,"変数セット","*加入",1,"リュート","デューテ計算用",0,1,,,
,"変数セット","*死亡",1,"リュート","デューテ計算用",0,0,,,
,"背景",,0,,"拠点_水門_玄関",0,0,,,
,"サブルーチン呼び出し","*加入",2,"デューテ","玄関デューテ立ち絵",0,0,,,
,"サブルーチン呼び出し","*章",4,"4","玄関_SUB10",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"サブルーチン呼び出し","デューテ計算用",1,"1","玄関_フェード後",0,0,,,
,"コマンド実行",,0,,,0,0,,,
"玄関デューテ立ち絵",,,0,,,0,0,,,
,"立ち絵追加","G_水門3_デューテ死亡",2,"1","デューテ仲間入り_選択",3,0,"デューテ",,
,"サブルーチン終了",,0,,,0,0,,,
"デューテ_会話選択_リュート有無",,,0,,,0,0,,,
,"サブルーチン呼び出し","デューテ計算用",1,"1","デューテと会話リュート入り",0,0,,,
,"サブルーチン呼び出し","*else",0,,"デューテと会話リュートなし",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"デューテと会話リュート入り",,,0,,,0,0,,,
,"会話","G_水門内部3_デューテ会話",1,"0","MID_ADV_C_デューテ",3,0,,,
,"会話","G_水門内部3_デューテ会話",1,"1","MID_ADV2_C_デューテ",3,0,,,
,"変数セット",,0,,"G_水門内部3_デューテ会話",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"デューテと会話リュートなし",,,0,,,0,0,,,
,"会話","G_水門内部3_デューテ会話",1,"0","MID_ADV3_C_デューテ1",3,0,,,
,"会話","G_水門内部3_デューテ会話",1,"1","MID_ADV4_C_デューテ",3,0,,,
,"変数セット",,0,,"G_水門内部3_デューテ会話",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"デューテ仲間入り_選択",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"デューテ_会話選択_リュート有無",0,0,,,
,"はい・いいえ選択",,0,,"MID_ADV_C_デューテ_SELECT",0,0,,,
,"はい選択",,0,,"デューテ仲間入り_加入",0,0,,,
,"いいえ選択",,0,,"デューテ仲間入り_拒否",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"デューテ仲間入り_加入",,,0,,,0,0,,,
,"仲間入り","*加入",2,"デューテ","デューテ",0,0,,,
,"立ち絵消去",,0,,"デューテ",3,0,,,
,"会話メニュー再構築",,0,,,0,0,,,
"デューテ仲間入り_拒否",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV_C_デューテ2",3,0,,,
,"サブルーチン呼び出し","デューテ計算用",1,"1","玄関_フェード後",0,0,,,
,"会話終了",,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"玄関_フェード後",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_水門内部3_デューテ会話",1,"1","玄関リュートデューテチェック",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"玄関リュートデューテチェック",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_森の村内部3_外へ出る会話",2,"99","玄関リュートデューテ",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"玄関リュートデューテ",,,0,,,0,0,,,
,"会話","G_水門内部3_玄関",1,"0","MID_C_EV1",3,0,,,
,"変数セット","G_水門内部3_玄関",1,"0","G_水門内部3_玄関",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"水門の操作部",,,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"4","操作部_フェード前4章",0,0,,,
,"背景",,0,,"拠点_水門_水門の操作部",0,0,,,
,"サブルーチン呼び出し","*章",1,"3","操作部_フェード前3章",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"4","操作部_フェード後4章",0,0,,,
,"コマンド実行",,0,,,0,0,,,
"外に出る",,,0,,,0,0,,,
,"BGM停止",,0,,,2,0,,,
,"環境音停止",,0,,,2,0,,,
,"フェードアウト",,0,,,1,0,,,
,"終了",,0,,,0,0,,,
"アドベンチャーをスキップ",,,0,,,0,0,,,
,"サブルーチン呼び出し","*章",1,"3","アドベンチャーをスキップ_3章",0,0,,,
,"ジャンプ",,0,,"外に出る",0,0,,,
