シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"ジャンプ",,0,,"入口",0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"入口",,,0,,,0,0,,,
,"出撃選択",,0,,,0,0,"Dng_MegamiTrial",,
,"ジャンプ","*結果",1,"戻る","終了",0,0,,,
,"ダンジョン",,0,,"迷路_女神の試練",0,0,"start1",,
,"ジャンプ",,0,,"出口",0,0,,,
"出口",,,0,,,0,0,,,
,"ジャンプ",,0,,"終了",0,0,,,
,"アサート",,0,,"結果が不正です",0,0,,,
"終了",,,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"GS_セーブメニュー",0,0,,,
,"終了",,0,,,0,0,,,
