シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"操作部_フェード前4章",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_水門内部4_オープニング",1,"0","4章開始時処理",0,0,,,
,"壁紙表示","G_水門内部4_オープニング",1,"0",,0,0,,,
,"章タイトル","G_水門内部4_オープニング",1,"0",,1,0,,,
,"壁紙消去","G_水門内部4_オープニング",1,"0",,0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"4章開始時処理",,,0,,,0,0,,,
,"変数セット","G_SUB_11サンゴを集めてくれ",3,"1","G_SUB_11サンゴを集めてくれ",0,99,,,
,"サブルーチン終了",,0,,,0,0,,,
"操作部_フェード後4章",,,0,,,0,0,,,
,"会話","G_水門内部4_オープニング",1,"0","MID_OP1",3,0,,,
,"変数セット","G_水門内部4_オープニング",1,"0","G_水門内部4_オープニング",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
