シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"玄関_SUB10",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_SUB_10逸品の油",5,"1","SUB10_初回",0,0,,,
,"サブルーチン呼び出し","G_SUB_10逸品の油",4,"1","SUB10_通常",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"SUB10_初回",,,0,,,0,0,,,
,"立ち絵追加",,0,,"SUB10_初回選択肢",10,0,"おじさん","MPID_水門番",
,"サブルーチン終了",,0,,,0,0,,,
"SUB10_通常",,,0,,,0,0,,,
,"立ち絵追加",,0,,"SUB10_通常選択肢",10,0,"おじさん","MPID_水門番",
,"サブルーチン終了",,0,,,0,0,,,
"SUB10_初回選択肢",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB10_1_0",10,0,,,
,"はい・いいえ選択",,0,,"MID_SUB10_1_確認0",0,0,,,
,"はい選択",,0,,"SUB10_初回話を聞く",0,0,,,
,"いいえ選択",,0,,"SUB10_ない",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"SUB10_初回話を聞く",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB10_1_1",10,0,,,
,"変数セット",,0,,"G_SUB_10逸品の油",0,1,,,
,"会話メニュー再構築",,0,,,0,0,,,
"SUB10_ない",,,0,,,0,0,,,
,"会話終了",,0,,,0,0,,,
"SUB10_通常選択肢",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB10_2_1",10,0,,,
,"変数セット","G_SUB_10逸品の油",2,"2","G_SUB_10逸品の油",0,1,,,
,"会話終了","*IID_スケルトン油",5,"1",,0,0,,,
,"はい・いいえ選択",,0,,"MID_SUB10_2_確認1",0,0,,,
,"はい選択",,0,,"SUB10_油渡す",0,0,,,
,"いいえ選択",,0,,"SUB10_通常なし",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"SUB10_油渡す",,,0,,,0,0,,,
,"会話",,0,,"MID_SUB10_2_2",10,0,,,
,"アイテム消費",,0,,"IID_スケルトン油",0,0,,,
,"サブルーチン呼び出し","G_SUB_10逸品の油",1,"2","SUB10_アイテム入手ランダム",0,0,,,
,"貨幣取得","*else",0,,,0,10,,,
,"会話",,0,,"MID_SUB10_2_3",10,0,,,
,"変数セット","G_SUB_10逸品の油",1,"1","G_SUB_10逸品の油",0,2,,,
,"会話メニュー再構築",,0,,,0,0,,,
"SUB10_アイテム入手ランダム",,,0,,,0,0,,,
,"変数セット",,0,,"SUB10計算用",0,0,,,
,"変数セット","G_SUB10_うろこ入手",1,"1","SUB10計算用",1,1,,,
,"変数セット","G_SUB10_きのみ入手",1,"1","SUB10計算用",1,1,,,
,"サブルーチン呼び出し","SUB10計算用",1,"2","SUB10_アイテムランダム両方なし",0,0,,,
,"サブルーチン呼び出し","SUB10計算用",5,"1","SUB10_アイテムランダム両方あり",0,0,,,
,"サブルーチン呼び出し","SUB10計算用",1,"1","SUB10_アイテム入手ランダム2",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"SUB10_アイテム入手ランダム2",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_SUB10_うろこ入手",1,"1","SUB10_アイテムランダムきのみ",0,0,,,
,"サブルーチン呼び出し","*else",0,,"SUB10_アイテムランダムうろこ",0,0,,,
