シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"変数設定_1章",,,0,,,0,0,,,
,"コメント",,0,,"変数設定１章",0,0,,,
,"ローカル変数",,0,,"1_パイソン_会話",0,0,,,
,"ローカル変数",,0,,"1_ミラの祭壇初回イベント",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定_1章",,,0,,,0,0,,,
,"コメント",,0,,"初期化１章",0,0,,,
,"変数セット","G_解放軍のアジト1_初回訪問",1,"0","1_パイソン_会話",0,1,,,
,"変数セット","G_解放軍のアジト1_初回訪問",1,"1","1_パイソン_会話",0,2,,,
,"変数セット","G_解放軍のアジト1_強制会話_アジト奥",1,"0","1_ミラの祭壇初回イベント",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"入り口_1章",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_解放軍のアジト1_初回訪問",1,"0","入り口パイソン会話初回",0,0,,,
,"コメント",,0,,"出入り口_1章終了",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"入り口パイソン会話初回",,,0,,,0,0,,,
,"ウェイト",,0,,,1000,0,,,
,"会話",,0,,"MID_EV1",3,0,,,
,"変数セット",,0,,"G_解放軍のアジト1_初回訪問",0,1,,,
,"変数セット",,0,,"1_パイソン_会話",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"入り口パイソン_会話1章",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV3_パイソン",3,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"ミラの祭壇_1章フェード前",,,0,,,0,0,,,
,"立ち絵追加","*クリア済み",2,"ソフィアの門","ソルジャーと会話_1章",1,0,"ソルジャー（青）","MPID_解放軍兵士",
,"立ち絵追加","*章",1,"1","アーチャーと会話_1章",4,0,"アーチャー（青）","MPID_解放軍兵士",
,"立ち絵追加","*章",1,"1","傭兵と会話_1章",5,0,"傭兵（青）","MPID_解放軍兵士",
,"サブルーチン終了",,0,,,0,0,,,
"ミラの祭壇初回イベント_立ち絵追加",,,0,,,0,0,,,
,"立ち絵追加",,0,,,3,0,"クレーベ",,
,"立ち絵追加",,0,,,4,0,"フェルナン",,
,"立ち絵追加",,0,,,2,0,"フォルス",,
,"サブルーチン終了",,0,,,0,0,,,
"ミラの祭壇初回イベント",,,0,,,0,0,,,
,"BGM停止",,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"ミラの祭壇初回イベント_立ち絵追加",0,0,,,
,"壁紙表示",,0,,,0,0,,,
,"フェードイン",,0,,,1,0,,,
,"フェード待ち",,0,,,0,0,,,
,"ウェイト",,0,,,1000,0,,,
,"会話",,0,,"MID_EV2_1",3,0,,,
,"会話",,0,,"MID_EV2_2",3,0,,,
,"会話",,0,,"MID_EV2_3",3,0,,,
,"フェードアウト",,0,,,3,0,"white",,
,"フェード待ち",,0,,,0,0,,,
,"サブルーチン呼び出し",,0,,"GS_一枚絵表示",0,0,"Tlp_Ev_LeavingFernand",,
,"効果音再生",,0,,"SE_EVT_1_BODY_SNATCH",0,0,,,
,"フェードイン",,0,,,3,0,"white",,
,"フェード待ち",,0,,,0,0,,,
,"会話",,0,,"MID_EV2_4",3,0,,,
,"フェードアウト",,0,,,2,0,,,
,"フェード待ち",,0,,,0,0,,,
,"立ち絵消去",,0,,"フェルナン",4,0,,,
,"サブルーチン呼び出し",,0,,"GS_一枚絵消去",0,0,,,
,"フェードイン",,0,,,2,0,,,
,"フェード待ち",,0,,,0,0,,,
,"会話",,0,,"MID_EV2_5",3,0,,,
,"壁紙消去",,0,,,0,0,,,
,"立ち絵消去",,0,,"クレーベ",3,0,,,
,"立ち絵消去",,0,,"フォルス",2,0,,,
,"ウェイト",,0,,,1000,0,,,
,"仲間入り","*加入",2,"クレーベ","クレーベ",0,0,,,
,"BGM再生",,0,,"BGM_MAP_D_SPIRIT",0,0,,,
,"変数セット",,0,,"G_ソフィアの南２_移動阻害",0,0,,,
,"変数セット",,0,,"G_解放軍のアジト1_強制会話_アジト奥",0,1,,,
,"変数セット",,0,,"1_ミラの祭壇初回イベント",0,0,,,
,"変数セット",,0,,"G_解放軍のアジト1_クリア",0,1,,,
,"スポットフラグ",,0,,"クリア済み",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"ソルジャーと会話_1章",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV1_ソルジャー",1,0,,,
,"会話終了",,0,,,0,0,,,
"アーチャーと会話_1章",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV1_アーチャー",4,0,,,
,"会話終了",,0,,,0,0,,,
"傭兵と会話_1章",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV1_傭兵",5,0,,,
,"会話終了",,0,,,0,0,,,
"アドベンチャーをスキップ_1章",,,0,,,1,0,,,
,"変数セット",,0,,"G_ソフィアの南２_移動阻害",0,0,,,
,"変数セット",,0,,"G_解放軍のアジト1_強制会話_アジト奥",0,1,,,
,"変数セット",,0,,"G_解放軍のアジト1_クリア",0,1,,,
,"変数セット",,0,,"G_解放軍のアジト1_初回訪問",0,1,,,
,"仲間入り","*加入",2,"クレーベ","クレーベ",0,0,,,
,"仲間入り","*加入",2,"フォルス","フォルス",0,0,,,
,"仲間入り","*加入",2,"パイソン","パイソン",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
