シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"パイソン仲間入り初回",0,0,,,
,"サブルーチン呼び出し","*章",1,"1","変数設定_1章",0,0,,,
,"拠点会話追加",,0,,,0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"初期化",0,0,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"ジャンプ","*加入",1,"パイソン","奥へ",0,0,,,
,"ジャンプ","*else",0,,"入り口",0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"コメント",,0,,"変数設定グローバル",0,0,,,
,"サブルーチン呼び出し","*章",4,"2","初期化_変数設定デバッグ",0,0,,,
,"サブルーチン呼び出し","*章",1,"1","初期化_変数設定_1章",0,0,,,
,"変数セット",,0,,"パイソン仲間入り初回",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"初期化_変数設定デバッグ",,,0,,,0,0,,,
,"変数セット","*章",4,"2","G_解放軍のアジト1_初回訪問",0,1,,,
,"変数セット","*章",4,"2","G_解放軍のアジト1_強制会話_アジト奥",0,1,,,
,"変数セット","*章",4,"2","G_解放軍のアジト1_フォルス会話",0,1,,,
,"変数セット","*章",4,"2","G_解放軍のアジト1_パイソン会話",0,1,,,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_解放軍のアジト入り口",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_KaihogunBase_Ent",0,0,"MID_ADV_GROUP_解放軍のアジト入り口付近",,
,"移動先追加",,0,,"入り口",0,0,,,
,"移動先追加",,0,,"奥へ",2,0,,,
,"移動先追加",,0,,"外に出る",1,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_解放軍のアジト神像",,,0,,,0,0,,,
,"コメント",,0,,"移動先追加",0,0,,,
,"ミニマップ",,0,,"AdvMap_KaihogunBase_Mira",0,0,"MID_ADV_GROUP_解放軍のアジト本部",,
,"移動先追加",,0,,"奥へ00",2,0,,,
,"移動先追加",,0,,"ミラ神像",0,0,,,
,"移動先追加",,0,,"戻る",0,0,,,
,"サブルーチン終了",,0,,,2,0,,,
"入り口",,,0,,,0,0,,,
,"サブルーチン呼び出し","*加入",1,"パイソン","入り口条件分岐",0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_解放軍のアジト入り口",0,0,,,
,"背景",,0,,"拠点_解放軍のアジト_入り口",0,0,,,
,"サブルーチン呼び出し","*加入",2,"パイソン","パイソン条件分岐",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"サブルーチン呼び出し","*章",1,"1","入り口_1章",0,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"入り口条件分岐",,,0,,,0,0,,,
,"ジャンプ","パイソン仲間入り初回",2,"1","外に出る",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"パイソン条件分岐",,,0,,,0,0,,,
,"立ち絵追加","*ルート",1,"アルム","入り口パイソン会話分岐",3,0,"パイソン",,
,"立ち絵追加","*ルート",1,"セリカ","パイソンセリカ会話",3,0,"パイソン",,
,"サブルーチン終了",,0,,,0,0,,,
"パイソンセリカ会話",,,0,,,0,0,,,
,"会話","G_解放軍のアジト2_パイソン会話",1,"0","MID_ADV1_パイソン",3,0,,,
,"会話","G_解放軍のアジト2_パイソン会話",1,"1","MID_ADV2_パイソン",3,0,,,
,"変数セット",,0,,"G_解放軍のアジト2_パイソン会話",0,1,,,
,"会話終了",,0,,,0,0,,,
"入り口パイソン会話分岐",,,0,,,0,0,,,
,"サブルーチン呼び出し","G_解放軍のアジト1_強制会話_アジト奥",1,"0","入り口パイソン_会話1章",0,0,,,
,"サブルーチン呼び出し","G_解放軍のアジト1_強制会話_アジト奥",1,"1","パイソン仲間入り_選択",0,0,,,
,"会話終了",,0,,,0,0,,,
"パイソン仲間入り_選択",,,0,,,0,0,,,
,"コメント",,0,,"パイソン仲間入り_選択",0,0,,,
,"会話","G_解放軍のアジト1_パイソン会話",1,"0","MID_ADV_C_パイソン仲間入り会話1",3,0,,,
,"会話","G_解放軍のアジト1_パイソン会話",1,"1","MID_ADV_C_パイソン仲間入り会話2",3,0,,,
,"変数セット",,0,,"G_解放軍のアジト1_パイソン会話",0,1,,,
,"はい・いいえ選択",,0,,"MID_ADV_C_パイソン_SELECT",0,0,,,
,"はい選択",,0,,"パイソン仲間入り_加入",0,0,,,
,"いいえ選択",,0,,"パイソン仲間入り_拒否",0,0,,,
,"はい・いいえ選択実行",,0,,,0,0,,,
"パイソン仲間入り_加入",,,0,,,0,0,,,
,"仲間入り","*加入",2,"パイソン","パイソン",0,0,,,
,"立ち絵消去",,0,,"パイソン",3,0,,,
,"変数セット",,0,,"パイソン仲間入り初回",0,1,,,
,"会話メニュー再構築",,0,,,0,0,,,
"パイソン仲間入り_拒否",,,0,,,0,0,,,
,"会話",,0,,"MID_ADV_C_パイソン2",3,0,,,
,"会話メニュー再構築",,0,,,0,0,,,
"奥へ",,,0,,,0,0,,,
,"戻り先指定",,0,,"入り口",0,0,,,
,"出撃選択",,0,,,0,0,"Dng_KaihogunAjito",,
,"BGM停止",,0,,,1,0,,,
,"ダンジョン",,0,,"迷路_解放軍のアジト１",0,0,"start1",,
,"ジャンプ",,0,,"ダンジョン中分岐",0,0,,,
"奥へ00",,,0,,,0,0,,,
,"ダンジョン",,0,,"迷路_解放軍のアジト_部屋１",0,0,"start1",,
,"ジャンプ",,0,,"ダンジョン奥分岐",0,0,,,
"戻る",,,0,,,0,0,,,
,"BGM停止",,0,,,1,0,,,
,"ダンジョン",,0,,"迷路_解放軍のアジト１",0,0,"start2",,
,"ジャンプ",,0,,"ダンジョン中分岐",0,0,,,
"ダンジョン中分岐",,,0,,,0,0,,,
,"コメント",,0,,"ダンジョン中分岐",0,0,,,
,"ジャンプ","*結果",1,"exit1","入り口",0,0,,,
,"ジャンプ","*結果",1,"exit2","ミラ神像",0,0,,,
,"アサート",,0,,"結果が不正です",0,0,,,
"ダンジョン奥分岐",,,0,,,0,0,,,
,"コメント",,0,,"ダンジョン奥分岐",0,0,,,
,"ジャンプ","*結果",1,"exit1","ミラ神像",0,0,,,
,"アサート",,0,,"結果が不正です",0,0,,,
"ミラ神像",,,0,,,0,0,,,
,"コメント",,0,,"ミラの祭壇",0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_解放軍のアジト神像",0,0,,,
,"背景",,0,,"拠点_解放軍のアジト_ミラ神像",0,0,,,
,"サブルーチン呼び出し","G_解放軍のアジト1_強制会話_アジト奥",1,"0","ミラの祭壇初回イベント",0,0,,,
,"サブルーチン呼び出し","*加入",2,"フォルス","フォルス条件分岐",0,0,,,
,"サブルーチン呼び出し","*章",1,"1","ミラの祭壇_1章フェード前",0,0,,,
,"BGM再生",,0,,"BGM_MAP_D_SPIRIT",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"ミラコマンド追加",,0,,,0,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"フォルス条件分岐",,,0,,,0,0,,,
,"立ち絵追加","*ルート",1,"アルム","フォルス仲間入り_選択",2,0,"フォルス",,
,"立ち絵追加","*ルート",1,"セリカ","フォルスセリカ会話",2,0,"フォルス",,
,"サブルーチン終了",,0,,,0,0,,,
"フォルスセリカ会話",,,0,,,0,0,,,
,"会話","G_解放軍のアジト2_フォルス会話",1,"0","MID_ADV1_フォルス",2,0,,,
,"会話","G_解放軍のアジト2_フォルス会話",1,"1","MID_ADV2_フォルス",2,0,,,
,"変数セット",,0,,"G_解放軍のアジト2_フォルス会話",0,1,,,
,"会話終了",,0,,,0,0,,,
"フォルス仲間入り_選択",,,0,,,0,0,,,
,"会話","G_解放軍のアジト1_フォルス会話",1,"0","MID_ADV_C_フォルス仲間入り会話1",2,0,,,
