シーケンス,コマンド,条件1,比較,条件2,引数１（ジャンプ先）,引数２,引数３,引数４,引数５,引数６
"初期化",,,0,,,0,0,,,
,"ローカル変数",,0,,"SUB14腕輪チェック",0,0,,,
,"ローカル変数",,0,,"SUB03_チーズ種類",0,0,,,
,"ローカル変数",,0,,"SUB03_チーズ終了判定",0,0,,,
,"ローカル変数",,0,,"SUB20登場抑制",0,0,,,
,"ローカル変数",,0,,"SUB24初回会話",0,0,,,
,"ローカル変数",,0,,"記憶の欠片計算",0,0,,,
,"サブルーチン呼び出し","*章",1,"1","変数設定_1章",0,0,,,
,"終了",,0,,,0,0,,,
"メイン",,,0,,,0,0,,,
,"コメント",,0,,"メイン",0,0,,,
,"スポットフラグ",,0,,"訪問済み",0,1,,,
,"サブルーチン呼び出し",,0,,"初期化_変数設定",0,0,,,
,"サブルーチン呼び出し",,0,,"移動先_ソフィア城1F",0,0,,,
,"サブルーチン呼び出し","*章",1,"2","2章はじめのセリカバトル",0,0,,,
,"ジャンプ",,0,,"玄関",0,0,,,
"初期化_変数設定",,,0,,,0,0,,,
,"変数セット",,0,,"SUB03_チーズ種類",0,0,,,
,"拠点会話追加","G_ソフィア城1_強制会話_中央ホール",1,"1",,0,0,,,
,"サブルーチン呼び出し","*章",1,"1","初期化_変数設定_1章",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_ソフィア城1F",,,0,,,0,0,,,
,"ミニマップ",,0,,"AdvMap_SofiaCatsle_1F",0,0,"MID_ADV_GROUP_ソフィア城1F",,
,"移動先追加",,0,,"玄関",0,0,,,
,"移動先追加",,0,,"宝物庫",0,0,,,
,"移動先追加",,0,,"中央ホールへ",0,0,,,
,"移動先追加",,0,,"城の外へ",1,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_ソフィア城1FB",,,0,,,0,0,,,
,"ミニマップ",,0,,"AdvMap_SofiaCatsle_1FB",0,0,"MID_ADV_GROUP_ソフィア城1FB",,
,"移動先追加",,0,,"玄関へ",0,0,,,
,"移動先追加",,0,,"謁見の間",0,0,,,
,"移動先追加",,0,,"中央ホール",0,0,,,
,"移動先追加",,0,,"階段前",0,0,,,
,"移動先追加",,0,,"バルコニーへ",1,0,"MID_ADV_上の階へ",,
,"移動先許可","G_ソフィア城1_バルコニー移動許可",3,"2","バルコニーへ",1,1,,,
,"移動先許可","*else",0,,"バルコニーへ",0,0,,,
,"サブルーチン終了",,0,,,0,0,,,
"移動先_ソフィア城2F",,,0,,,0,0,,,
,"ミニマップ",,0,,"AdvMap_SofiaCatsle_2F",0,0,"MID_ADV_GROUP_ソフィア城2F",,
,"移動先追加",,0,,"バルコニー",0,0,,,
,"移動先追加",,0,,"1階へ",0,0,"MID_ADV_下の階へ",,
,"サブルーチン終了",,0,,,0,0,,,
"玄関",,,0,,,0,0,,,
,"背景",,0,,"拠点_ソフィア城_玄関",0,0,,,
,"サブルーチン呼び出し","*章",1,"1","玄関_フェード前1章",0,0,,,
,"サブルーチン呼び出し","*章",1,"2","玄関_フェード前2章",0,0,,,
,"サブルーチン呼び出し","*章",1,"3","玄関_フェード前3章",0,0,,,
,"サブルーチン呼び出し","*章",4,"3","玄関_SUB711",0,0,,,
,"フェードイン",,0,,,1,0,,,
,"現在地表示",,0,,,0,0,,,
,"コマンド実行",,0,,,0,0,,,
"謁見の間",,,0,,,0,0,,,
,"背景",,0,,"拠点_ソフィア城_謁見の間",0,0,,,
,"サブルーチン呼び出し","*章",1,"1","謁見の間_立ち絵1章",0,0,,,
,"サブルーチン呼び出し","G_SUB_16ソフィア王家の秘宝",1,"2","謁見の間_SUB20",0,0,,,
,"フェードイン",,0,,,1,0,,,
